Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Aatrox,80,100.00%,58,22,12,12,10,55%,2.73,2.59,4.59,2.82,255.64,7.97,12.3,383,16.2k,504,55.50%,20.70%,21.10%
Yuumi,76,95%,68,8,6,8,0,100%,1.63,1.13,13.88,13.78,7.5,0.23,8.4,263,13.2k,413,88.60%,9.30%,13.70%
Sejuani,72,90%,42,30,17,16,14,53.30%,2.03,2.6,7.27,3.58,178.57,5.73,10.4,333,11.4k,366,70%,15.40%,18.50%
Caitlyn,70,87.50%,62,8,5,5,3,62.50%,3.25,1.88,4.25,4,307.38,9.29,14,423,16.4k,495,58.30%,25.20%,23.70%
Azir,66,82.50%,29,37,13,19,18,51%,2.95,1.81,4.3,4,296.3,9.35,13.4,423,20.5k,646,61.80%,25.10%,23.90%
Sylas,60,75.00%,28,32,10,21,11,65.60%,3.56,2.16,4.19,3.59,263.91,8.59,12.8,416,15.2k,495,56.40%,25.90%,22.30%
Graves,59,73.80%,34,25,11,12,13,48.00%,3.16,2.36,5.96,3.86,237.92,7.32,12.9,397,14.7k,451,72.80%,25.20%,21.70%
Maokai,56,70.00%,35,21,14,7,14,33%,1.19,3.14,5.62,2.17,175.71,5.94,9.2,309,13.2k,446,66.20%,11.60%,17.90%
Lucian,55,68.80%,29,26,9,15,11,57.70%,5.12,1.58,4.58,6.15,296.85,9.55,14.8,478,22.6k,726,71.40%,37.70%,25.80%
Viego,48,60.00%,18,30,9,19,11,63.30%,3.57,2.13,5.6,4.3,173.6,5.45,11.2,351,9.8k,309,67%,26.00%,19.10%
Akali,48,60.00%,24,24,11,12,12,50.00%,3.67,2.17,3.33,3.23,259.58,8.44,12.1,392,15.2k,495,52.50%,27.50%,21.50%
Fiora,42,52.50%,23,19,10,9,10,47.40%,2.63,2,3.16,2.89,269.53,8.7,12.4,401,14.3k,461,48.00%,21.80%,22.30%
Renata Glasc,41,51.20%,20,21,10,13,8,62%,1,2.38,9,4.2,22.81,0.73,7.6,243,5.3k,169,73.20%,7.30%,14%
Aphelios,39,48.80%,8,31,10,17,14,54.80%,3.97,2.06,4.48,4.09,288.03,9.41,13.4,438,17.8k,580,65.20%,30.60%,24.40%
Renekton,39,48.80%,23,16,9,5,11,31.30%,2.44,3.44,3.94,1.85,271.63,8.11,12.9,386,14.5k,433,52.60%,20.10%,21.80%
Viktor,35,44%,16,19,10,6,13,31.60%,2.26,3.37,4.53,2.02,293.42,8.59,13.4,392,22.9k,670,66.50%,22.20%,22.70%
Kalista,31,38.80%,13,18,10,7,11,38.90%,3.44,2.72,4.22,2.82,301.89,9.18,14,425,13.7k,416,63.60%,28.60%,24.40%
Ornn,31,38.80%,15,16,11,9,7,56%,1.31,2.19,5.75,3.23,229.44,7.04,11,337,13.8k,422,57.40%,10.70%,19%
Nami,27,33.80%,1,26,9,15,11,58%,0.85,2.27,9.85,4.71,13.42,0.43,7.7,247,6.2k,199,78.80%,6.20%,13.40%
Varus,27,33.80%,8,19,10,9,10,47.40%,3.21,2.16,4.42,3.54,295.32,8.97,13.7,416,18.6k,566,62.50%,26.30%,23.70%
Lee Sin,23,28.70%,8,15,9,7,8,47%,1.47,2.87,6.13,2.65,159.33,5.01,9.7,306,8.2k,257,64.80%,12.50%,18%
Poppy,22,27.50%,9,13,9,4,9,30.80%,1,2.23,5.77,3.03,145.62,4.8,8.9,294,7.8k,257,69%,10%,17.10%
LeBlanc,22,27.50%,14,8,4,3,5,37.50%,3.5,1,4.25,7.75,241.63,7.98,12.1,401,20.5k,678,61.40%,27.70%,22.80%
Camille,21,26.30%,10,11,5,8,3,73%,3.64,2.64,5.91,3.62,268.64,7.7,13.8,394,17.5k,502,66.50%,25.30%,21.40%
Heimerdinger,21,26.30%,13,8,3,4,4,50%,0.88,3.38,6.25,2.11,35.63,1.02,8.8,253,14.9k,427,54.80%,6.70%,13.80%
Vi,18,23%,6,12,8,6,6,50.00%,1.67,3.08,7.58,3,148.25,4.97,9.4,316,7.1k,237,66.10%,11.90%,17.30%
Nautilus,18,23%,11,7,6,1,6,14.30%,0.71,4.43,5,1.29,35.57,1.02,7.1,204,3.8k,109,57.10%,7%,12.10%
Lulu,16,20%,1,15,7,8,7,53.30%,0.53,2.2,7.8,3.79,15.53,0.49,7.4,233,4.5k,141,66.10%,4.20%,12.90%
Jax,16,20.00%,5,11,7,5,6,45.50%,1.73,2.45,3.36,2.07,245.55,7.9,11.6,373,10.8k,347,45.90%,15.60%,21.30%
Jarvan IV,16,20.00%,8,8,6,2,6,25%,1.38,4.13,6.5,1.91,148.5,4.54,9.4,286,7.8k,240,90.00%,15.70%,16.90%
Gragas,14,17.50%,3,11,7,8,3,72.70%,2,2.09,6.45,4.04,209.91,6.53,11.1,346,14.5k,452,58.10%,13.80%,19%
Gnar,14,18%,5,9,5,4,5,44.40%,1.56,3.44,3.44,1.45,246.89,8.23,11.2,373,12.9k,429,45.00%,14.00%,20.90%
Taliyah,14,18%,7,7,4,3,4,43%,2.14,3,5.57,2.57,257.71,8.18,11.6,368,14.3k,455,70.10%,19.50%,21.20%
Lissandra,14,17.50%,9,5,4,3,2,60.00%,1.6,2.8,7.8,3.36,216.8,7.82,10.6,382,11.5k,414,69.10%,11.80%,20.30%
Kai'Sa,13,16.30%,5,8,6,5,3,62.50%,5.88,1.38,4,7.18,294.5,9.67,14.1,462,15.7k,516,63.20%,37.60%,25%
Thresh,13,16.30%,6,7,4,4,3,57%,1.14,2.86,9,3.55,33.43,1.15,7.1,245,4.2k,143,76.30%,8.60%,13.40%
Ashe,13,16.30%,7,6,3,4,2,66.70%,3.17,2.17,6.67,4.54,264.17,7.21,13.9,380,16k,437,62.80%,20.20%,20.00%
Draven,13,16.30%,7,6,5,3,3,50%,4.33,3.33,1.83,1.85,279.83,8.86,14.6,462,13.4k,424,63.80%,44.80%,25.90%
Soraka,12,15.00%,3,9,6,4,5,44%,0.33,2.78,7,2.64,18.22,0.57,7.1,223,5.7k,179,71.00%,3.20%,12.90%
Leona,12,15.00%,3,9,7,2,7,22%,0.56,3.78,5.56,1.62,34.78,1.2,6.5,223,2.9k,100,67.10%,6.10%,13.20%
Trundle,12,15.00%,5,7,4,4,3,57.10%,1.57,2,6.57,4.07,152.86,5.08,9.4,314,7.6k,252,69.50%,13.40%,17.80%
Ryze,12,15.00%,8,4,2,3,1,75.00%,4.75,2.75,4.5,3.36,282.75,8.79,14,434,15.9k,494,56.90%,29.20%,22.70%
Amumu,11,13.80%,5,6,4,2,4,33%,1,4.17,7.67,2.08,36.67,1.17,7.3,233,5.5k,174,78%,9.00%,13.40%
Bel'Veth,11,13.80%,5,6,5,1,5,16.70%,1.67,3.33,3.67,1.6,170.5,6.11,9.3,335,7k,251,57.10%,17.90%,20.30%
Sivir,10,12.50%,2,8,6,7,1,87.50%,5,1.25,8.5,10.8,329.25,10.38,15.3,484,22k,695,86%,31.70%,25.80%
Karma,10,12.50%,3,7,5,2,5,28.60%,1,3.14,5.14,1.95,22.57,0.68,8,241,9.3k,280,71.70%,11.70%,14.10%
Tristana,10,12.50%,4,6,6,1,5,17%,2,2.83,2.33,1.53,243.33,9.23,10.5,399,9.6k,363,56.50%,26.10%,24.40%
Yone,10,12.50%,5,5,2,5,0,100.00%,5.4,2.2,5.2,4.82,295,9.04,15,459,20.9k,641,58.20%,30%,23.60%
Miss Fortune,9,11.30%,1,8,4,2,6,25.00%,2.38,2.25,3.63,2.67,315.75,9.64,13.4,408,17.6k,538,67%,26%,24.50%
Rell,9,11.30%,3,6,5,4,2,67%,0.33,3,9,3.11,33,1.15,6.9,240,3.5k,120,66.70%,2.40%,13.10%
Gangplank,9,11.30%,5,4,3,2,2,50.00%,5.5,3.5,6,3.29,226.25,7.79,13.6,467,24.2k,834,69%,32.80%,24.50%
Lux,8,10.00%,1,7,6,3,4,42.90%,0.86,2.71,7.43,3.05,35.57,1.04,8.2,241,9.5k,278,71%,7.30%,13.80%
Tahm Kench,8,10%,2,6,5,2,4,33.30%,0.17,3.33,6.67,2.05,36.83,1.23,6.6,221,4.6k,155,64.10%,1.60%,12.70%
Ezreal,8,10.00%,3,5,4,1,4,20%,2.2,2.6,2.6,1.85,324.2,9.84,14.3,435,24k,729,51.10%,23.40%,25.00%
Kindred,8,10.00%,4,4,1,4,0,100.00%,2,1.25,6.5,6.8,228.75,6.41,12.9,361,14.4k,405,70.80%,16.70%,19.50%
Galio,8,10.00%,4,4,4,1,3,25.00%,1.75,3.75,5,1.8,241,7.27,11.6,349,15k,453,67.50%,17.50%,20.50%
Syndra,7,8.80%,2,5,4,0,5,0.00%,1.8,3.4,4.2,1.76,228.2,6.84,11.4,342,16.9k,506,73.20%,22.00%,21.10%
