Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Ahri,6,7.50%,1,5,4,4,1,80.00%,5.8,1,7.4,13.2,323,9.13,16.2,459,24.6k,694,68.80%,30.20%,23.50%
Sett,6,7.50%,1,5,4,2,3,40.00%,1.6,3.6,5.2,1.89,138.6,4.49,9,292,9.7k,313,57.60%,13.60%,17.10%
Hecarim,6,7.50%,2,4,3,3,1,75%,4.5,2,8.25,6.38,210.75,5.87,13,362,13k,363,76.10%,26.90%,19.80%
Jinx,6,7.50%,2,4,3,3,1,75.00%,2.75,0.75,6.75,12.67,274,9.91,12.6,457,14.2k,514,72%,20.80%,23.70%
Seraphine,6,7.50%,2,4,3,0,4,0.00%,0.75,2.5,4.75,2.2,277.5,8.42,11.4,345,10.3k,313,64.70%,8.80%,20.70%
Senna,6,7.50%,3,3,3,0,3,0%,0.33,3,4,1.44,51.33,1.62,8.2,258,8k,252,76.50%,5.90%,15.80%
Nidalee,6,7.50%,4,2,2,1,1,50%,3,1.5,4.5,5,207.5,7.44,11.3,407,18.9k,679,78.90%,31.60%,22.10%
Pyke,6,7.50%,5,1,1,0,1,0%,2,8,4,0.75,47,1.19,10.1,256,8.4k,213,60.00%,20.00%,14.80%
Jayce,5,6.30%,2,3,2,3,0,100.00%,3,5,5.67,1.73,251.33,7.95,12.7,403,23.8k,752,63.40%,22.00%,21.20%
Kennen,5,6.30%,2,3,3,1,2,33%,2,3.67,3.33,1.45,235.67,7.55,11,352,15.8k,507,59.30%,22.20%,21.00%
Braum,4,5.00%,2,2,1,2,0,100%,1,1,13.5,14.5,35.5,1.05,9,264,6.9k,203,96.70%,6.70%,13.60%
Alistar,4,5.00%,2,2,2,1,1,50%,1,2,10,5.5,26.5,0.89,7.2,241,4.7k,156,66.70%,6.10%,12.40%
Kayn,4,5.00%,2,2,1,0,2,0%,3,3,5,2.67,210.5,5.95,12.1,343,14.9k,421,89%,33%,21.00%
Orianna,3,3.80%,-,3,3,2,1,67%,5.33,1.33,6.33,8.75,320.33,9.56,15.4,460,19.8k,590,85.40%,39.00%,24.60%
Swain,3,3.80%,1,2,2,1,1,50%,2,1.5,4.5,4.33,212.5,8.25,9.4,367,12.8k,495,76.50%,24%,21.80%
Karthus,3,3.80%,2,1,1,1,0,100%,9,5,11,4,266,6.4,18.9,455,54.7k,1316,95.20%,42.90%,26.00%
Nocturne,3,3.80%,2,1,1,1,0,100%,5,4,8,3.25,171,5.53,11.5,373,11.6k,374,57%,22%,17.20%
Bard,2,2.50%,-,2,2,1,1,50%,0,1,7.5,7.5,38.5,1.07,7.5,211,4.8k,133,55.60%,0%,12.30%
Blitzcrank,2,2.50%,-,2,2,1,1,50.00%,0.5,2.5,7,3,31.5,1.21,6.4,245,4k,154,60.00%,4%,13.00%
Gwen,2,2.50%,-,2,2,1,1,50%,2,3.5,3.5,1.57,277.5,7.73,13.7,383,23k,641,55%,20%,21.00%
Jhin,2,2.50%,-,2,2,1,1,50%,2,2,7,4.5,227,7.91,11,384,14.2k,493,75.00%,17%,20.20%
Xayah,2,2.50%,-,2,2,1,1,50%,5.5,0.5,3.5,18,430,10.77,19.1,478,27k,676,86%,52%,27.30%
Rakan,2,2.50%,1,1,1,1,0,100%,0,3,15,5,38,1.13,8.3,247,6k,178,83.30%,0.00%,12.80%
Darius,2,2.50%,1,1,1,0,1,0%,4,2,5,4.5,228,6.57,12.9,373,15k,432,60.00%,26.70%,21%
Fiddlesticks,2,2.50%,1,1,1,0,1,0%,2,3,1,1,127,5.07,7.4,295,8.5k,340,50.00%,33.30%,19.60%
Singed,2,2.50%,1,1,1,0,1,0.00%,1,3,3,1.33,150,4.98,7.8,258,5.2k,173,80.00%,20%,16.20%
Mordekaiser,2,2.50%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nilah,2,2.50%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shen,1,1.30%,-,1,1,1,0,100%,2,0,4,6,247,7.59,12.4,380,12.5k,383,40.00%,13%,19.20%
Anivia,1,1.30%,-,1,1,0,1,0%,1,3,3,1.33,274,8.69,11.3,359,13.7k,434,57.10%,14.30%,23%
Irelia,1,1.30%,-,1,1,0,1,0%,1,8,2,0.38,248,7.28,11.5,339,15.9k,466,17.60%,5.90%,19.50%
Malphite,1,1.30%,-,1,1,0,1,0%,0,5,5,1,233,6.85,10.8,318,14.5k,426,45.50%,0%,18.70%
Nasus,1,1.30%,-,1,1,0,1,0%,0,4,3,0.75,15,0.5,5.7,190,6.1k,203,75%,0%,12%
Rumble,1,1.30%,-,1,1,0,1,0%,2,6,1,0.5,234,7.74,10.5,347,11.6k,385,75%,50.00%,22.10%
Wukong,1,1.30%,-,1,1,0,1,0%,2,5,5,1.4,159,3.75,11.4,270,11.9k,281,63.60%,18.20%,16.90%
Xin Zhao,1,1.30%,-,1,1,0,1,0%,1,3,3,1.33,179,6.27,9,316,7.6k,266,100.00%,25.00%,20.50%
Olaf,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
