Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Ezreal,25,32.50%,9,16,10,6,10,37.50%,2.63,2.25,3.88,2.89,323.56,9.99,14.3,440,-,-,66.20%,26.80%,25.00%
Rek'Sai,25,33%,12,13,10,7,6,54%,3.38,2.54,5.23,3.39,166.15,5.04,11.2,339,-,-,61.50%,24%,18.10%
Leona,22,28.60%,7,15,8,10,5,66.70%,0.87,3.67,7.27,2.22,72.33,2.08,9,258,-,-,54.70%,5.80%,13.70%
Tristana,21,27.30%,11,10,9,2,8,20.00%,2.5,3,3.8,2.1,289.1,8.59,13.2,393,-,-,54.80%,21.70%,22.80%
Vladimir,20,26.00%,9,11,5,6,5,54.50%,3.09,3.64,6.09,2.53,253.18,8.08,12.6,402,-,-,59.10%,20%,22.30%
Jarvan IV,20,26.00%,10,10,6,3,7,30.00%,1,3,7.7,2.9,148.5,4.63,9.7,303,-,-,82.90%,9.50%,17.60%
Olaf,18,23.40%,10,8,6,5,3,62.50%,4,3.13,4.25,2.64,152.75,5,10.6,348,-,-,57.90%,28.10%,18.80%
Thresh,17,22%,2,15,7,8,7,53%,0.73,2.67,9.4,3.8,16.6,0.5,8.2,248,-,-,71.70%,5%,13.60%
Galio,17,22%,5,12,9,4,8,33%,1.17,3.33,7.33,2.55,135.5,4.34,9.1,290,-,-,70.80%,9.70%,16.60%
Twisted Fate,17,22.10%,14,3,2,1,2,33.30%,2,3.67,5,1.91,276.67,8.89,13.8,445,-,-,67.70%,19.40%,24.80%
Lucian,16,20.80%,7,9,7,2,7,22.20%,3.22,3.78,4.78,2.12,278.33,8.3,13.2,393,-,-,65.50%,26.40%,22.70%
Kled,15,19.50%,10,5,4,3,2,60.00%,2.8,2,4.4,3.6,229,7.32,11.1,356,-,-,57.10%,22.20%,20.00%
Irelia,15,19.50%,11,4,4,2,2,50.00%,2.75,4.25,4.75,1.76,305.25,8.42,14.3,394,-,-,55.60%,20.40%,21.50%
Rumble,15,19.50%,12,3,2,1,2,33.30%,6.33,1.67,5.67,7.2,219,6.7,12.5,384,-,-,80.00%,42.20%,22.00%
Alistar,14,18.20%,3,11,6,4,7,36.40%,0.36,4,6,1.59,44.36,1.54,6.4,220,-,-,59.30%,3.40%,13%
Morgana,14,18.20%,10,4,3,2,2,50%,1.25,1.5,4.75,4,98.75,2.92,9.6,283,-,-,63.20%,13.20%,15.90%
Ornn,13,16.90%,4,9,6,6,3,66.70%,1.78,2.56,6.78,3.35,172.44,5.69,9.9,327,-,-,56.60%,11.80%,17.50%
Pyke,13,16.90%,6,7,6,1,6,14.30%,2.29,3.57,4,1.76,75.29,2.2,9.9,288,-,-,68.80%,25.00%,16.40%
Veigar,13,16.90%,8,5,4,2,3,40.00%,3.4,2,6.4,4.9,239.8,7.98,11.8,392,-,-,71.00%,24.60%,22.10%
Camille,12,15.60%,5,7,5,7,0,100%,2.71,2.14,7.14,4.6,250.29,8.33,12.5,414,-,-,59.50%,16.40%,20.70%
Blitzcrank,12,15.60%,6,6,5,2,4,33.30%,1.33,4.5,7.5,1.96,16.83,0.47,9.3,261,-,-,49.50%,7.50%,14.00%
Tahm Kench,11,14.30%,4,7,4,5,2,71.40%,1.14,2.43,13.86,6.18,87.14,2.48,10.2,291,-,-,77.20%,5.90%,15.00%
Varus,10,13.00%,1,9,4,6,3,67%,6.44,2.67,7.22,5.13,312.67,9.42,15.6,470,-,-,69.90%,33.00%,24.80%
Orianna,10,13.00%,1,9,6,5,4,55.60%,2.56,2.67,6.89,3.54,296.33,8.39,13.8,390,-,-,66.40%,18.00%,21.40%
Gnar,10,13.00%,2,8,7,4,4,50%,2.13,2,5.13,3.63,249.38,7.58,12.1,367,-,-,62%,18.10%,21.00%
Aatrox,9,11.70%,2,7,6,4,3,57.10%,2.43,2.57,3.57,2.33,207,7.58,10.3,377,-,-,50.00%,20.20%,20.70%
Cassiopeia,9,11.70%,2,7,5,3,4,42.90%,2.57,3.86,4.86,1.93,271.57,8.25,12.8,390,-,-,58.40%,20.20%,21.90%
Heimerdinger,9,11.70%,5,4,3,1,3,25.00%,2,3.75,7.5,2.53,285.25,7.25,14.3,364,-,-,70.40%,14.80%,20.00%
Quinn,9,11.70%,7,2,2,1,1,50%,2.5,3,4,2.17,234.5,7.78,11.7,388,-,-,50.00%,19.20%,22%
Garen,8,10.40%,1,7,3,3,4,43%,3.57,3.14,6.29,3.14,299.86,7.91,14.5,382,-,-,64%,23%,20.90%
Sion,7,9%,-,7,6,1,6,14.30%,1,2.86,3.43,1.55,262,7.54,11.4,328,-,-,57.40%,13.00%,19.80%
Taliyah,7,9.10%,2,5,3,2,3,40.00%,3,2.2,6,4.09,158.2,4.95,10.4,325,-,-,69.20%,23.10%,18%
Nocturne,7,9.10%,3,4,3,1,3,25.00%,0.75,3.5,4.5,1.5,170.25,5.53,9.6,313,-,-,61.80%,9%,19.00%
Fiora,7,9.10%,4,3,3,1,2,33.30%,3.33,4.33,4,1.69,330.67,9.53,15.9,458,-,-,56%,25.60%,23.90%
Shen,6,7.80%,-,6,5,2,4,33.30%,1.83,4.67,5,1.46,148.83,4.86,9.2,302,-,-,68%,18%,17.60%
Vayne,6,7.80%,4,2,1,2,0,100%,3,1.5,6,6,300,9.6,14.3,457,-,-,51.40%,17%,22.60%
Jax,5,6.50%,4,1,1,1,0,100.00%,1,0,1,2,240,8.59,10.3,367,-,-,18.20%,9.10%,19.90%
Zoe,4,5.20%,-,4,4,1,3,25%,2.75,1.25,5.75,6.8,247.25,7.1,12.5,359,-,-,55.70%,18.00%,19.20%
Mordekaiser,4,5.20%,-,4,2,0,4,0%,4,3.5,4,2.29,300.5,7.64,15.2,386,-,-,42.70%,21.30%,21.30%
Cho'Gath,4,5.20%,1,3,3,1,2,33%,3,1.33,3.67,5,225.67,7.27,11.2,360,-,-,57.10%,25.70%,20.50%
Kennen,4,5.20%,2,2,2,1,1,50%,1.5,4,7,2.13,304.5,8.97,14,413,-,-,68.00%,12.00%,22.40%
Skarner,4,5.20%,2,2,2,0,2,0%,1,3,5.5,2.17,160,4.93,9.8,303,-,-,76.50%,11.80%,18%
Azir,3,3.90%,-,3,2,1,2,33.30%,3,3.33,4,2.1,243.33,8.85,10.9,397,-,-,65.60%,28%,22.90%
Poppy,3,3.90%,-,3,3,1,2,33%,2,4.67,8.33,2.21,183,5.01,11.2,307,-,-,66.00%,12.80%,17.30%
Draven,3,3.90%,1,2,1,1,1,50%,4.5,2.5,4.5,3.6,283,9.28,13.8,452,-,-,69.20%,34.60%,24.10%
Lissandra,3,3.90%,1,2,2,1,1,50%,2.5,3,4.5,2.33,246,8.19,11.4,379,-,-,70.00%,25.00%,21.70%
Karthus,3,3.90%,1,2,2,0,2,0%,2,2,2,2,202.5,5.75,11,313,-,-,88.90%,44.40%,19.30%
Karma,3,4%,2,1,1,1,0,100%,0,2,13,6.5,14,0.39,8.2,227,-,-,86.70%,0%,11.80%
Corki,2,3%,-,2,1,1,1,50%,4.5,1,3.5,8,321,10.13,14.6,461,-,-,84.20%,47.40%,24.70%
Jinx,2,3%,-,2,2,1,1,50%,4,1.5,5.5,6.33,300,9.82,14.1,462,-,-,65.50%,27.60%,24.00%
Lulu,2,2.60%,-,2,2,1,1,50%,0.5,2.5,10.5,4.4,24.5,0.64,9.3,244,-,-,88.00%,4.00%,14.00%
Sivir,2,2.60%,1,1,1,1,0,100%,11,0,5,16,483,11.81,22.2,543,-,-,72.70%,50.00%,27.70%
Sona,2,2.60%,1,1,1,0,1,0%,1,3,5,2,257,5.91,18.4,424,-,-,75.00%,12.50%,22.70%
Sylas,2,2.60%,1,1,1,0,1,0.00%,4,4,11,3.75,239,5.69,14.8,352,-,-,68.20%,18.20%,19.80%
Volibear,2,2.60%,1,1,1,0,1,0%,1,4,6,1.75,35,1.31,5.6,210,-,-,77.80%,11.10%,13.20%
Braum,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jhin,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kalista,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ekko,1,1.30%,-,1,1,1,0,100%,3,2,7,5,161,5.76,10.7,382,-,-,90.90%,27.30%,20.60%
Fiddlesticks,1,1.30%,-,1,1,1,0,100%,2,3,8,3.33,18,0.53,8.6,256,-,-,58.80%,11.80%,13.20%
Kog'Maw,1,1.30%,-,1,1,1,0,100%,12,6,8,3.33,402,9.16,22.4,509,-,-,91%,55%,26.90%
Malphite,1,1.30%,-,1,1,1,0,100%,3,1,9,12,245,8.55,12.1,424,-,-,60%,15%,20%
Urgot,1,1.30%,-,1,1,1,0,100%,8,5,10,3.6,287,5.9,20.3,418,-,-,72%,32.00%,21.00%
Yorick,1,1.30%,-,1,1,1,0,100%,2,2,3,2.5,254,8.18,12.6,407,-,-,28%,11.10%,20.00%
Anivia,1,1.30%,-,1,1,0,1,0%,1,2,0,0.5,362,11.21,12.8,397,-,-,25.00%,25.00%,24.60%
Bard,1,1.30%,-,1,1,0,1,0%,0,7,10,1.43,31,0.79,9.1,233,-,-,83.30%,0%,13.80%
Caitlyn,1,1.30%,-,1,1,0,1,0%,4,3,5,3,297,9.3,13.5,422,-,-,60.00%,26.70%,25.70%
Kha'Zix,1,1.30%,-,1,1,0,1,0%,1,1,2,3,193,6.33,10.4,340,-,-,100%,33%,20.50%
Neeko,1,1.30%,-,1,1,0,1,0%,1,3,4,1.67,292,8.45,12.2,353,-,-,63%,13%,20%
Rengar,1,1.30%,-,1,1,0,1,0%,5,4,0,1.25,208,7.96,10.6,404,-,-,50.00%,50.00%,23%
Sejuani,1,1.30%,-,1,1,0,1,0%,1,2,1,1,124,4.74,7.2,275,-,-,100%,50%,19.60%
Viktor,1,1.30%,-,1,1,0,1,0%,1,2,2,1.5,245,7.52,10.2,314,-,-,60.00%,20%,19.50%
Zilean,1,1.30%,-,1,1,0,1,0%,1,1,1,2,271,9.19,10.1,343,-,-,100%,50%,23.20%
