Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Pantheon,77,100%,77,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qiyana,71,92.20%,56,15,9,8,7,53.30%,3.67,3.13,5.93,3.06,192.8,6.32,11.1,363,-,-,62.10%,23.70%,19.90%
Akali,67,87%,46,21,16,12,9,57.10%,3.57,1.57,3.81,4.7,288.33,8.89,13.2,407,-,-,51.20%,24.80%,22.10%
Renekton,66,86%,46,20,12,12,8,60.00%,3.45,2.85,3.75,2.53,271,8.13,13.7,410,-,-,50.30%,24.10%,21.80%
Xayah,64,83.10%,30,34,14,24,10,70.60%,4.5,1.71,5.56,5.9,325.26,10.26,15,473,-,-,69.90%,31.30%,25.40%
Kai'Sa,62,80.50%,12,50,15,25,25,50.00%,4.86,1.88,4.08,4.76,308.4,9.67,14.6,458,-,-,66%,35.80%,25.10%
Gragas,57,74.00%,16,41,15,26,15,63.40%,1.85,2.68,7.71,3.56,128.76,3.95,9.9,304,-,-,66.80%,12.90%,16.50%
Kayle,57,74.00%,36,21,14,10,11,47.60%,2.33,3,5.9,2.75,261.52,8.31,12.6,401,-,-,64%,18.10%,22.00%
Syndra,55,71.40%,40,15,9,4,11,26.70%,3,2.87,4.27,2.53,301.4,8.91,13.3,394,-,-,66.50%,27.40%,23%
Nautilus,54,70%,17,37,14,20,17,54.10%,1.3,3.38,7.59,2.63,79.78,2.42,8.6,261,-,-,59.00%,8.60%,14.20%
Ryze,52,67.50%,22,30,12,17,13,56.70%,3.07,2.63,5.03,3.08,315.73,9.63,14.3,436,-,-,58.00%,22.00%,23%
Lee Sin,50,64.90%,8,42,14,19,23,45.20%,2.52,2.69,6,3.17,159.05,4.81,10.8,326,-,-,65.60%,19%,17.90%
Elise,45,58.40%,22,23,10,11,12,48%,3.26,2.96,6.3,3.24,180.22,5.17,11.8,339,-,-,65%,22.10%,18.40%
Gangplank,44,57%,18,26,11,14,12,54%,2.5,2.35,6.35,3.77,274.77,8.12,14.2,419,-,-,64.60%,18.30%,22.80%
Rakan,43,55.80%,20,23,10,13,10,56.50%,0.65,2.39,9.83,4.38,18.22,0.58,7.8,248,-,-,76.00%,4.70%,13.60%
LeBlanc,37,48.10%,27,10,7,7,3,70.00%,3.9,1.8,4.7,4.78,270.4,7.98,13.3,392,-,-,65.60%,29.80%,21.10%
Jayce,27,35.10%,11,16,6,7,9,43.80%,3.06,3,4,2.35,265,8.33,12.8,403,-,-,63.10%,27.40%,22.50%
Yasuo,27,35.10%,14,13,7,9,4,69%,2.62,2.54,5.69,3.27,284.31,9.06,13.3,422,-,-,62.80%,20%,22.70%
Yuumi,27,35.10%,18,9,4,3,6,33.30%,1.56,2,9.44,5.5,71.22,1.97,11.2,310,-,-,83.20%,11.80%,17%
