Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Nunu,27,96.40%,9,18,6,12,6,66.70%,1.06,2.67,8.61,3.63,90.17,2.46,9.4,256,-,-,-,-,-
Alistar,25,89.30%,12,13,4,8,5,61.50%,3.46,2.69,7.38,4.03,114,3.11,9.6,261,-,-,-,-,-
Rumble,23,82.10%,21,2,2,2,0,100%,3.5,1.5,9,8.33,162,5.02,10.1,311,-,-,-,-,-
Vladimir,22,78.60%,14,8,5,3,5,37.50%,4.5,3.5,3.88,2.39,224.63,5.99,11.2,298,-,-,-,-,-
Twisted Fate,22,78.60%,18,4,2,2,2,50%,2,4.5,5.5,1.67,206.5,5.43,11.4,299,-,-,-,-,-
Corki,20,71.40%,5,15,8,8,7,53.30%,4.67,2.73,4.27,3.27,266.13,7.07,12.6,334,-,-,-,-,-
Jarvan IV,20,71.40%,7,13,5,8,5,61.50%,2.77,2.77,10,4.61,152.77,3.75,12.5,306,-,-,-,-,-
Vayne,20,71.40%,12,8,5,4,4,50%,5.75,4.38,5.5,2.57,228.75,6.1,12.1,322,-,-,-,-,-
Janna,19,67.90%,1,18,6,10,8,55.60%,0.28,2.33,9.5,4.19,25.06,0.63,8.1,204,-,-,-,-,-
Ashe,19,67.90%,2,17,8,13,4,76.50%,4.29,2.18,7,5.19,244,6.26,13.2,340,-,-,-,-,-
Nidalee,19,67.90%,15,4,3,3,1,75%,2.5,2,3.5,3,192.25,6.03,9.7,304,-,-,-,-,-
Sona,18,64.30%,3,15,6,9,6,60%,0.53,1.93,8.53,4.69,17.93,0.47,7.7,203,-,-,-,-,-
Amumu,18,64.30%,8,10,6,3,7,30%,1.3,4.1,6.7,1.95,114.7,2.94,9.3,240,-,-,-,-,-
Malzahar,16,57.10%,-,16,6,9,7,56.30%,4.19,2.63,5.81,3.81,224.44,6.12,11.4,310,-,-,-,-,-
Warwick,14,50%,3,11,7,6,5,54.50%,3,2.27,7,4.4,127.82,3.33,9.7,252,-,-,-,-,-
Anivia,14,50%,5,9,4,5,4,55.60%,4.11,2,5.89,5,225.78,5.98,11.7,310,-,-,-,-,-
Taric,13,46.40%,3,10,6,3,7,30%,0.8,3.6,6,1.89,22.3,0.59,7.5,199,-,-,-,-,-
Annie,10,35.70%,2,8,5,4,4,50%,5.25,3.88,7.13,3.19,214.88,5.03,12.3,289,-,-,-,-,-
Karthus,9,32.10%,3,6,4,2,4,33.30%,2.67,7.17,7.83,1.47,218.83,5.23,11.4,274,-,-,-,-,-
