Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Nidalee,77,100%,66,11,10,8,3,72.70%,2.55,2.82,5.45,2.84,195.82,4.92,15.1,380,-,-,62%,19.70%,20.40%
Syndra,75,97.40%,59,16,10,10,6,62.50%,4.81,2.5,4.38,3.68,338.31,9.09,15.5,418,-,-,62.60%,32.80%,22.70%
Olaf,59,76.60%,23,36,14,18,18,50%,2.5,2.28,5.69,3.6,160.17,4.16,13.1,341,-,-,65.80%,20.10%,19.10%
Karma,58,75.30%,16,42,16,19,23,45.20%,0.57,2.52,6.88,2.95,62.07,1.62,10.3,267,-,-,68.20%,5.20%,15.20%
Jhin,51,66.20%,12,39,13,24,15,61.50%,3.87,1.9,5.95,5.18,324.64,8.25,15.7,398,-,-,66.70%,26.30%,21.70%
Elise,50,64.90%,21,29,15,10,19,34.50%,2.21,2.59,4.93,2.76,149.14,3.97,12.6,336,-,-,65.50%,20.30%,19.50%
Caitlyn,49,63.60%,15,34,11,16,18,47.10%,2.74,2.18,4.21,3.19,364.35,9.46,15.9,412,-,-,61.50%,24.20%,23.30%
Jayce,47,61%,21,26,15,15,11,57.70%,2.73,2.85,5.31,2.82,306.65,8.52,14.4,399,-,-,62.20%,21.10%,22%
Ryze,46,59.70%,27,19,11,10,9,52.60%,3.74,1.79,4.47,4.59,322.74,9.06,14.7,412,-,-,63.90%,29.10%,22.90%
Lee Sin,45,58.40%,8,37,13,21,16,56.80%,2.7,2.38,6.3,3.78,152.84,3.83,13.6,341,-,-,65.80%,19.80%,18.80%
Rumble,41,53.20%,9,32,13,16,16,50%,2.38,3.41,4.81,2.11,296.31,7.89,13.9,371,-,-,57.20%,18.90%,21%
Ezreal,39,50.60%,7,32,12,11,21,34.40%,3.81,2.22,3.66,3.37,330.75,8.6,15.2,394,-,-,67.70%,34.60%,22.90%
Poppy,38,49.40%,9,29,11,14,15,48.30%,1.66,2.1,4.66,3,309.31,7.45,14.7,354,-,-,56.30%,14.80%,20.20%
Kennen,37,48.10%,14,23,12,12,11,52.20%,2.78,3.39,4.65,2.19,296.57,7.64,14.4,370,-,-,56.40%,21.10%,20.60%
Rek'Sai,34,44.20%,16,18,12,8,10,44.40%,1.44,2.5,7.06,3.4,168.44,4.49,13.1,350,-,-,66.20%,11.30%,19.60%
Aurelion Sol,32,41.60%,20,12,10,8,4,66.70%,4.92,2.5,6.67,4.63,286.08,7.58,14.6,387,-,-,76.80%,32.60%,21.30%
Sivir,31,40.30%,11,20,11,10,10,50%,2.3,1.65,5.85,4.94,354.95,9.91,15.1,421,-,-,64.20%,18.10%,23.50%
Gnar,30,39%,12,18,12,7,11,38.90%,2.06,2.61,4.06,2.34,290.61,7.82,13.6,367,-,-,47.80%,16.10%,20.80%
Viktor,29,37.70%,6,23,8,13,10,56.50%,3.7,2.39,3.61,3.05,366.7,9.29,16.4,416,-,-,59.20%,29.90%,22.80%
Alistar,28,36.40%,5,23,16,15,8,65.20%,0.61,2.61,8.48,3.48,38,1,9.8,258,-,-,71.30%,4.80%,14.20%
Cassiopeia,28,36.40%,6,22,10,8,14,36.40%,3.05,2.73,3.82,2.52,301.27,8.36,13.7,380,-,-,62.10%,27.60%,21.80%
Zyra,27,35.10%,5,22,5,14,8,63.60%,1.45,2.77,6.73,2.95,34.23,0.89,11,287,-,-,56.30%,10%,15.40%
Vladimir,27,35.10%,12,15,9,7,8,46.70%,3.33,1.8,4.67,4.44,306.53,7.98,14.1,368,-,-,64.90%,27%,21.20%
Nami,26,33.80%,2,24,12,10,14,41.70%,0.71,2.42,10.33,4.57,22.63,0.56,10.4,257,-,-,81%,5.20%,14.40%
Tahm Kench,23,29.90%,12,11,7,6,5,54.50%,1.45,2.73,7.09,3.13,50.55,1.28,10.6,269,-,-,60.30%,10.30%,14.90%
Bard,17,22.10%,5,12,5,3,9,25%,1,3.92,5.92,1.77,23.08,0.66,8.8,251,-,-,64.30%,9.30%,15.10%
Braum,16,20.80%,-,16,12,6,10,37.50%,0.63,2.38,5.94,2.76,43.75,1.19,9.1,249,-,-,61.40%,5.80%,14.30%
Ashe,15,19.50%,4,11,5,7,4,63.60%,3,2.36,5.55,3.62,385.55,9.33,17.5,424,-,-,64.80%,22.80%,22.80%
Lucian,14,18.20%,1,13,7,7,6,53.80%,4.46,1.77,2.92,4.17,351.46,9.15,16,416,-,-,58.90%,35.60%,23.50%
Malzahar,14,18.20%,3,11,8,5,6,45.50%,3.91,3.18,5.18,2.86,296.64,7.72,14.4,376,-,-,69%,29.70%,21.40%
Orianna,13,16.90%,-,13,6,5,8,38.50%,3.08,2.69,3.54,2.46,422.54,9.45,18.2,407,-,-,65.20%,30.30%,23.10%
Trundle,12,15.60%,1,11,6,6,5,54.50%,2.18,2,5,3.59,376.27,8.27,17.4,383,-,-,58.50%,17.80%,21%
Ekko,11,14.30%,1,10,5,5,5,50%,3,2.3,4.3,3.17,296.1,8.24,13.8,384,-,-,61.30%,25.20%,21.40%
Brand,9,11.70%,8,1,1,1,0,100%,3,1,4,7,32,0.79,12.7,314,-,-,70%,30%,16.80%
Varus,8,10.40%,3,5,4,3,2,60%,2.6,2,4.6,3.6,414.8,8.64,18.9,393,-,-,64.30%,23.20%,22.10%
Zac,8,10.40%,4,4,3,2,2,50%,2.5,2.25,5.75,3.67,191.75,4.35,15.3,348,-,-,67.30%,20.40%,19.20%
Graves,7,9.10%,-,7,5,3,4,42.90%,2.29,2.57,5.86,3.17,171.57,5.09,12.1,360,-,-,64.80%,18.20%,20.80%
Skarner,7,9.10%,1,6,5,4,2,66.70%,1.83,2.17,7.17,4.15,147.67,3.82,13.3,344,-,-,67.50%,13.80%,18.90%
Miss Fortune,7,9.10%,4,3,2,3,0,100%,2,3,8.33,3.44,50.33,1.35,12.4,332,-,-,58.50%,11.30%,16.30%
Irelia,6,7.80%,1,5,4,3,2,60%,4.4,4,2.4,1.7,281.6,7.99,13.9,394,-,-,52.30%,33.80%,21.50%
Twisted Fate,6,7.80%,5,1,1,0,1,0%,0,6,5,0.83,374,7.97,17.9,382,-,-,71.40%,0%,21.70%
Jinx,5,6.50%,-,5,3,2,3,40%,2.4,1.6,4.2,4.13,361,9.58,15.3,406,-,-,63.50%,23.10%,23.20%
Zilean,4,5.20%,-,4,4,1,3,25%,2.75,3.75,4.75,2,356,8.68,15.5,377,-,-,57.70%,21.20%,22.10%
Kassadin,4,5.20%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hecarim,3,3.90%,-,3,2,2,1,66.70%,2,1.33,6.33,6.25,145.67,4.19,12.1,347,-,-,75.80%,18.20%,19.70%
Lissandra,3,3.90%,-,3,2,2,1,66.70%,3.33,3.33,5.33,2.6,318.33,8.68,14.5,395,-,-,65%,25%,21%
Soraka,3,3.90%,1,2,2,1,1,50%,0.5,3,10.5,3.67,23,0.54,10.9,257,-,-,88%,4%,14.60%
Maokai,2,2.60%,-,2,2,1,1,50%,2.5,2.5,11.5,5.6,281,7.28,13.7,353,-,-,77.80%,13.90%,19.30%
Anivia,2,2.60%,1,1,1,1,0,100%,2,2,5,3.5,302,7.48,15.6,386,-,-,70%,20%,20.60%
Shen,2,2.60%,1,1,1,0,1,0%,3,4,6,2.25,174,6.3,8.9,322,-,-,75%,25%,22%
Nocturne,1,1.30%,-,1,1,1,0,100%,3,2,11,7,166,3.8,16.4,376,-,-,73.70%,15.80%,19.40%
Taric,1,1.30%,-,1,1,1,0,100%,0,7,9,1.29,134,2.02,19.5,294,-,-,56.30%,0%,16.30%
Fiora,1,1.30%,-,1,1,0,1,0%,5,7,5,1.43,263,7.56,13.4,385,-,-,66.70%,33.30%,22.70%
Kha'Zix,1,1.30%,-,1,1,0,1,0%,4,4,3,1.75,164,3.61,14.5,319,-,-,70%,40%,20.10%
Kindred,1,1.30%,-,1,1,0,1,0%,2,5,0,0.4,123,3.91,9.6,305,-,-,66.70%,66.70%,20.30%
Kled,1,1.30%,-,1,1,0,1,0%,1,6,6,1.17,244,7.18,11,324,-,-,50%,7.10%,20.10%
Nautilus,1,1.30%,-,1,1,0,1,0%,1,4,7,2,315,6.93,14.6,321,-,-,80%,10%,20.20%
