Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Bard,27,35.50%,12,15,9,9,6,60%,0.6,2.27,10.53,4.91,43.47,1.33,7.7,237,6.1k,187,78.40%,4.20%,13.00%
Kalista,25,32.90%,17,8,5,2,6,25%,2,3.38,4.38,1.89,278.38,8.98,12.1,392,10.2k,328,59.30%,18.60%,23.10%
Thresh,24,31.60%,14,10,7,4,6,40.00%,0.4,2.6,6.4,2.62,40.5,1.25,7.2,222,3.5k,108,65.40%,3.80%,12.80%
Rakan,23,30.30%,9,14,9,7,7,50.00%,0.57,2.5,6.21,2.71,38.71,1.26,6.9,223,3.8k,122,62.50%,5.30%,12.80%
Sylas,20,26.30%,9,11,5,7,4,63.60%,3.55,2,6.27,4.91,234,8,11.4,391,13.6k,464,70.60%,25.50%,21.20%
Galio,19,25.00%,4,15,8,6,9,40%,2.4,2.67,5.67,3.03,247.33,7.65,11.5,356,10k,311,68.80%,20.50%,20.00%
Nautilus,18,23.70%,5,13,8,2,11,15%,0.62,4.46,4.92,1.24,36.31,1.21,6.4,213,4k,132,61.00%,6.80%,13.20%
Gangplank,18,23.70%,7,11,6,5,6,45.50%,3.27,2.82,5.18,3,278.27,8.58,14.4,444,20.9k,645,67.90%,26.30%,24.50%
Lulu,17,22.40%,7,10,7,5,5,50.00%,1,2.1,7.1,3.86,112.6,3.56,8.6,273,6k,190,73.00%,9.00%,15.80%
Azir,15,19.70%,5,10,6,3,7,30%,2,2,3.3,2.65,294.7,9.18,12.7,396,11.3k,353,54%,20%,23.00%
Akali,14,18.40%,9,5,3,3,2,60%,5,2.4,4.2,3.83,315,8.53,15.2,411,17.5k,475,55.40%,30.10%,21.90%
Twitch,14,18.40%,12,2,2,0,2,0.00%,3,3,1,1.33,241,7.77,11.4,367,17k,547,80.00%,60.00%,24.80%
Lee Sin,13,17.10%,3,10,6,4,6,40%,2.6,2.7,6.2,3.26,169.1,5.18,10.6,324,8.1k,248,78.60%,23.20%,18.60%
Jax,12,15.80%,5,7,3,5,2,71.40%,4.14,2.71,4,3,309.43,8.62,15.3,427,16.3k,455,54%,27.60%,22.70%
Zoe,11,14.50%,3,8,5,5,3,63%,3.13,1.38,7.25,7.55,257.38,8.28,12,386,16.2k,520,72.80%,21.90%,21.20%
Jayce,11,14.50%,3,8,7,2,6,25.00%,3.38,3.75,2.63,1.6,265.38,8.67,12.2,398,19.2k,629,64.90%,36.50%,23.30%
Ekko,10,13.20%,3,7,5,5,2,71.40%,3,1,6.14,9.14,285.71,9.49,12.7,423,11.8k,392,66.00%,22%,22.60%
Braum,10,13.20%,3,7,5,4,3,57.10%,1,2.29,6.86,3.44,33.57,1.12,6.9,231,5.1k,171,64.70%,8.20%,13.00%
Evelynn,10,13%,6,4,4,2,2,50%,3.75,2.75,3.25,2.55,195.75,6.13,11.4,356,12k,377,62%,33.30%,20.10%
Alistar,9,11.80%,3,6,6,0,6,0%,1.17,4.5,5,1.37,37.83,1.13,7.4,219,3.9k,116,62.70%,12%,13.20%
Aphelios,8,10.50%,2,6,5,3,3,50.00%,3.33,2.33,4.67,3.43,289.17,9.1,13.5,423,18.2k,572,65.80%,27.40%,23.60%
Lux,8,10.50%,3,5,4,2,3,40.00%,0.4,1.8,5.8,3.44,42.4,1.27,7.5,226,4k,121,75.60%,4.90%,13.10%
Karma,8,10.50%,4,4,4,3,1,75.00%,0.25,1.5,6.5,4.5,21.75,0.72,7.1,232,4.7k,155,77.10%,2.90%,12.60%
Blitzcrank,8,10.50%,4,4,3,2,2,50%,1,2.5,5.75,2.7,26.25,0.87,6.8,226,4k,132,50.00%,7.40%,12.60%
Hecarim,8,10.50%,4,4,4,2,2,50%,3,2,5,4,190,6.34,10.4,346,7.5k,249,62.70%,24%,19.60%
Wukong,8,10.50%,5,3,2,1,2,33.30%,2.33,4,3.33,1.42,284,8.48,13.4,400,12.6k,377,65.40%,26.90%,23.50%
Irelia,8,10.50%,6,2,2,1,1,50.00%,4,3.5,3,2,282.5,9.66,12.7,435,12.9k,441,56.00%,32.00%,24.30%
Sion,7,9.20%,1,6,3,3,3,50%,2,2.33,4.67,2.86,255.33,8.36,11.6,380,10.2k,334,40.80%,12.20%,20.70%
Kennen,7,9.20%,3,4,1,4,0,100%,3.5,3.25,7.5,3.38,275.75,8.81,13.8,440,19k,606,71.00%,22.60%,22%
Gragas,6,7.90%,3,3,3,2,1,67%,3.67,2,6.67,5.17,203.33,5.9,11.8,343,14.1k,409,59.60%,21.20%,18.60%
Vladimir,6,7.90%,3,3,2,2,1,67%,1.67,2,1,1.33,278.33,9.29,11.8,396,16.5k,550,29%,17.90%,22.10%
Swain,6,8%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Miss Fortune,5,7%,-,5,4,3,2,60%,3.6,2.2,6.4,4.55,344.4,9.92,15.3,440,19k,547,67.60%,24.30%,24.40%
Jarvan IV,5,6.60%,2,3,2,2,1,67%,1,2.33,11,5.14,168,4.97,10.2,301,7.1k,209,82%,6.80%,16.40%
Kassadin,5,6.60%,3,2,2,0,2,0%,2.5,6,0.5,0.5,201.5,6.87,9.8,333,8.9k,303,42.90%,35.70%,22.10%
Mordekaiser,5,6.60%,3,2,2,0,2,0%,4,3.5,2.5,1.86,281,7.37,14.2,373,14.4k,379,68.40%,42.10%,22.70%
Malphite,4,5.30%,-,4,4,2,2,50%,2,1.75,6.5,4.86,201,7.03,10.2,356,10.2k,357,66.70%,15.70%,20.30%
Yuumi,4,5.30%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taric,3,3.90%,-,3,2,1,2,33%,0,1.67,4.33,2.6,31.67,1.09,6.3,215,1.2k,42,59.10%,0%,12.40%
Draven,3,3.90%,1,2,2,1,1,50%,2.5,1.5,4.5,4.67,277,8.63,13.8,431,12.2k,379,67%,24%,22.90%
Fiora,2,2.60%,-,2,2,1,1,50%,5,4,2.5,1.88,320.5,9.4,14.8,434,21.3k,623,53.60%,35.70%,24.60%
Vel'Koz,2,2.60%,-,2,2,0,2,0.00%,1.5,3,1,0.83,248.5,8.95,10,359,13.5k,486,38.50%,23.10%,22.80%
Ziggs,2,2.60%,-,2,1,0,2,0%,1,3.5,0.5,0.43,250,7.88,11.1,350,19.9k,629,30%,20%,22.10%
Zilean,2,2.60%,-,2,1,0,2,0.00%,0.5,1,4,4.5,250.5,7.68,10.7,328,9.5k,290,60.00%,6.70%,20.80%
Karthus,2,2.60%,1,1,1,0,1,0%,3,6,7,1.67,242,7.43,11.6,355,25.2k,773,66.70%,20.00%,21.80%
Gnar,1,1.30%,-,1,1,1,0,100%,1,2,7,4,281,8.55,13,395,11.7k,356,50.00%,6.30%,20%
Maokai,1,1.30%,-,1,1,1,0,100%,1,3,8,3,245,8.17,11,368,16.6k,553,69.20%,7.70%,18.50%
Nocturne,1,1.30%,-,1,1,1,0,100%,5,3,5,3.33,266,8.27,13.3,415,10.6k,331,66.70%,33.30%,22.60%
Rengar,1,1.30%,-,1,1,1,0,100%,2,1,10,12,211,6.08,11.9,344,10.6k,306,60%,10.00%,18.40%
Singed,1,1.30%,-,1,1,1,0,100%,2,3,8,3.33,263,7.8,12.9,382,11.5k,341,66.70%,13.30%,20.60%
Vayne,1,1.30%,-,1,1,1,0,100%,11,1,2,13,238,7.93,14.1,469,12.1k,404,56.50%,47.80%,23.80%
Kayle,1,1.30%,-,1,1,0,1,0%,0,2,0,0,250,9.33,9.9,368,13.4k,499,0%,0%,23.30%
Kha'Zix,1,1.30%,-,1,1,0,1,0%,2,6,4,1,154,5.18,8.8,297,9.8k,330,100%,33.30%,18.80%
LeBlanc,1,1.30%,-,1,1,0,1,0%,2,4,4,1.5,289,7.83,13.7,371,11.9k,323,60%,20%,23.10%
Quinn,1,1.30%,-,1,1,0,1,0%,2,4,6,2,262,8.15,12.7,394,16.8k,523,88.90%,22.20%,22.10%
Ryze,1,1.30%,-,1,1,0,1,0%,1,4,4,1.25,177,7.45,7.7,324,5.9k,249,62.50%,12.50%,20.20%
Urgot,1,1.30%,-,1,1,0,1,0%,3,4,1,1,239,7.27,11.5,349,8k,243,66.70%,50.00%,22.10%
Morgana,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
