Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Lucian,71,93.40%,60,11,9,6,5,55%,3.91,2.82,4.45,2.97,290.18,8.86,14,428,16.1k,492,61%,28.70%,23.70%
Graves,70,92.10%,18,52,16,23,29,44.20%,3.46,2.73,4.92,3.07,220.4,6.87,11.8,367,12.6k,394,67.60%,28%,20.80%
Ornn,69,90.80%,40,29,13,14,15,48.30%,1.28,2.28,5.97,3.18,242.83,7.56,11.2,349,12.4k,385,58.50%,10.30%,19.80%
Syndra,68,89.50%,40,28,13,14,14,50.00%,3,2.32,4.36,3.17,286.96,8.75,12.7,387,16.7k,508,57.20%,23.30%,22.10%
Nidalee,68,89.50%,48,20,9,11,9,55.00%,3.25,2.1,5.75,4.29,213.25,6.84,11.4,367,12k,385,68.70%,24.80%,20.20%
Twisted Fate,62,81.60%,46,16,7,9,7,56.30%,3.25,2.44,7.5,4.41,253.38,8.33,13.1,430,15.4k,505,70.80%,21.40%,23.00%
Camille,56,73.70%,42,14,8,8,6,57.10%,4.64,3.21,4.5,2.84,252.5,7.94,13.3,419,15.6k,491,56.10%,28.50%,22.70%
Ashe,52,68.40%,20,32,13,15,17,46.90%,3.16,2.56,6.09,3.61,295.28,9.09,13.6,418,16.7k,513,66.80%,22.80%,23.50%
Renekton,52,68%,30,22,10,8,14,36.40%,2.5,3.73,4.5,1.88,261,8.15,12.2,382,12.4k,388,55.20%,19.70%,21.90%
Senna,43,56.60%,12,31,15,14,17,45.20%,1.9,2,7.68,4.79,240.26,7.71,11.8,379,14.4k,462,75.20%,14.90%,21%
Jhin,42,55.30%,11,31,12,20,11,64.50%,4.23,1.42,5.55,6.89,283.65,9.1,13.5,433,15.2k,487,66.90%,28.90%,23.50%
Leona,42,55.30%,18,24,9,17,7,70.80%,0.88,3.38,7.88,2.59,38.79,1.19,7.7,236,4.3k,130,55.00%,5.50%,12.60%
Orianna,40,52.60%,12,28,13,15,13,53.60%,3.36,1.89,5.04,4.43,304.96,9.08,13.7,408,14.9k,442,64%,25.50%,23.00%
Ezreal,40,52.60%,19,21,7,12,9,57.10%,3.43,2.57,4.24,2.98,308.86,9.29,14.2,428,23.2k,697,62.60%,28.00%,23.70%
Sett,40,52.60%,23,17,14,9,8,52.90%,2.29,3.47,6.59,2.56,128.12,4.06,9.7,306,9.9k,314,59.00%,15.20%,16.70%
Caitlyn,39,51.30%,28,11,6,6,5,54.50%,3.09,1.36,4.09,5.27,317.27,9.78,14.3,441,16.6k,512,60.30%,26.00%,24.50%
Lillia,38,50.00%,13,25,10,12,13,48.00%,2.88,3.12,6.6,3.04,206.68,6.51,11.3,355,13.2k,416,67.10%,20.40%,20%
Pantheon,38,50.00%,21,17,10,10,7,58.80%,2.59,3.47,5.53,2.34,57.29,1.8,8.3,262,8.9k,279,55.00%,17.50%,14.20%
Volibear,36,47.40%,14,22,12,12,10,55%,2.36,2.95,5.45,2.65,216.14,6.63,11.3,348,11.9k,365,61.60%,18.60%,20%
Shen,32,42.10%,24,8,6,5,3,63%,2.38,3,6.63,3,234.88,6.72,12.1,345,10.1k,288,60.00%,15.80%,18.90%
Tahm Kench,29,38.20%,14,15,7,8,7,53.30%,1.13,3.67,8.47,2.62,33.47,0.99,7.8,231,5.4k,158,59.80%,7.10%,12.80%
Kindred,28,36.80%,9,19,8,11,8,57.90%,3.47,1.89,5.53,4.75,203.42,6.4,11.5,363,11.7k,369,69.00%,26.60%,20%
