Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Ryze,34,44.20%,17,17,13,8,9,47.10%,2.35,1.88,4,3.38,306.94,9.89,12.5,403,-,-,59.30%,22%,22.90%
Braum,30,39%,6,24,9,13,11,54.20%,0.38,2.04,7.54,3.88,59.5,1.91,7.7,248,-,-,71.70%,3.40%,13.80%
Shen,28,36.40%,12,16,9,9,7,56.30%,1.31,2.13,6.38,3.62,160.88,4.99,10,309,-,-,65.40%,11.20%,17.40%
Sivir,27,35.10%,9,18,7,12,6,66.70%,3.44,1.67,6.33,5.87,366.33,10.81,15.5,456,-,-,71%,25%,25.30%
Olaf,27,35.10%,11,16,13,7,9,43.80%,3.38,1.81,4.94,4.59,172.56,5.04,11.3,331,-,-,68.90%,28%,18.60%
Ornn,25,32.50%,13,12,8,10,2,83.30%,1.5,2.08,7.58,4.36,266.83,7.55,12.5,352,-,-,60.60%,10%,19.10%
Lee Sin,24,31.20%,7,17,7,9,8,52.90%,2.71,2.06,5,3.74,151.71,4.96,10.2,333,-,-,69.30%,24.30%,18.80%
Lucian,23,29.90%,8,15,6,9,6,60%,3.33,1.73,4.6,4.58,319.13,10.19,13.8,442,-,-,64.70%,27.20%,24.70%
Kindred,23,29.90%,17,6,4,2,4,33.30%,1.33,3.33,5,1.9,176.67,5.48,10.6,329,-,-,69.10%,14.50%,19.20%
Varus,22,28.60%,11,11,8,5,6,45.50%,2.91,2.27,3.82,2.96,283.82,9.45,12.3,411,-,-,67.90%,29.40%,23.40%
Swain,19,24.70%,8,11,6,5,6,45.50%,3.45,2.55,3.45,2.71,251.18,8.3,11.6,384,-,-,69.10%,34.50%,22%
Heimerdinger,15,19.50%,13,2,1,2,0,100%,2,0,5,14,355,10.25,15.4,444,-,-,73.70%,21.10%,23.20%
Tristana,14,18.20%,5,9,7,4,5,44.40%,2.11,1,2.67,4.78,337.11,10.78,13.5,430,-,-,63.20%,27.90%,25.40%
Leona,13,16.90%,2,11,8,7,4,63.60%,1,3,8.45,3.15,57.55,1.82,7.9,249,-,-,70.30%,7.40%,13.60%
Viktor,13,16.90%,6,7,4,3,4,42.90%,3,2.71,5.43,3.11,243.14,8.39,11.8,409,-,-,59.60%,21.20%,22.30%
Jayce,13,16.90%,8,5,5,3,2,60%,3.2,3.2,4.2,2.31,317,9.33,14.2,419,-,-,60.70%,26.20%,22.70%
Poppy,11,14.30%,3,8,7,2,6,25%,1,2.5,3.75,1.9,218.13,6.09,11.2,312,-,-,55.90%,11.80%,18.70%
Jhin,11,14.30%,5,6,2,2,4,33.30%,1.33,1.5,3.83,3.44,345.67,10.57,13.4,408,-,-,62%,16%,23.50%
Skarner,11,14.30%,8,3,3,0,3,0%,1,3.33,6,2.1,174,4.88,10.6,298,-,-,75%,10.70%,17.80%
Ezreal,9,11.70%,1,8,4,3,5,37.50%,2.38,2.25,4.38,3,319.25,9.98,13.4,418,-,-,58.70%,20.70%,24.20%
Zilean,9,11.70%,7,2,1,1,1,50%,7.5,2,8,7.75,339.5,9.43,16,444,-,-,86.10%,41.70%,24.90%
Draven,8,10.40%,6,2,1,1,1,50%,4.5,1.5,5.5,6.67,317.5,9.75,15.7,483,-,-,95.20%,42.90%,27.40%
Azir,7,9.10%,1,6,4,3,3,50%,2.83,1.5,4.67,5,329.83,9.98,13.8,417,-,-,73.80%,27.90%,23.90%
Ekko,5,6.50%,1,4,2,1,3,25%,3.75,4.5,2.75,1.44,293.75,8.57,13.2,385,-,-,66.70%,38.50%,22.60%
Vel'Koz,5,6.50%,3,2,2,1,1,50%,1.5,2,3.5,2.5,334,8.77,13.9,366,-,-,55.60%,16.70%,21.20%
Graves,4,5.20%,-,4,3,1,3,25%,3.25,1.75,2.25,3.14,175.75,6.02,10.2,351,-,-,88%,52%,21.30%
Jax,4,5.20%,2,2,2,1,1,50%,1.5,2.5,5.5,2.8,247.5,8.33,11.6,389,-,-,58.30%,12.50%,21.40%
Cho'Gath,3,3.90%,-,3,3,1,2,33.30%,2,2.33,3,2.14,262,7.48,11.6,330,-,-,55.60%,22.20%,20%
Jarvan IV,3,3.90%,-,3,3,1,2,33.30%,2.33,3.67,8.33,2.91,164,4.85,11.2,331,-,-,94.10%,20.60%,18.80%
Cassiopeia,3,3.90%,-,3,2,0,3,0%,1.67,1.67,0.33,1.2,350.33,10.2,13.2,384,-,-,60%,50%,23.80%
Gangplank,3,3.90%,1,2,2,1,1,50%,2.5,1.5,7,6.33,306.5,9.43,15.7,483,-,-,52.80%,13.90%,25.70%
Nautilus,3,3.90%,1,2,2,1,1,50%,0.5,5,8,1.7,90,2.11,10.2,238,-,-,63%,3.70%,13.90%
Zoe,3,3.90%,1,2,2,0,2,0%,1.5,3,4.5,2,331,8.51,13.7,352,-,-,80%,20%,22%
Yasuo,3,3.90%,2,1,1,1,0,100%,1,5,9,2,380,7.96,17.7,372,-,-,83.30%,8.30%,22%
Zac,3,3.90%,2,1,1,1,0,100%,0,0,10,10,138,4.95,9.1,326,-,-,76.90%,0%,17.10%
Malzahar,3,3.90%,2,1,1,0,1,0%,0,3,4,1.33,321,9.21,12,344,-,-,66.70%,0%,21.30%
Kalista,2,2.60%,-,2,2,1,1,50%,2.5,2.5,6.5,3.6,268,9.45,11.2,396,-,-,64.30%,17.90%,22.70%
Fiora,2,2.60%,-,2,1,0,2,0%,3,1.5,1.5,3,361,10.34,15.3,438,-,-,52.90%,35.30%,25.20%
Hecarim,2,2.60%,1,1,1,1,0,100%,5,2,3,4,342,9.37,16.2,444,-,-,61.50%,38.50%,23%
Darius,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pyke,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ahri,1,1.30%,-,1,1,1,0,100%,3,3,7,3.33,267,8.97,12.4,418,-,-,71.40%,21.40%,21.20%
Kled,1,1.30%,-,1,1,1,0,100%,2,1,7,9,234,8.56,10.8,394,-,-,45%,10%,19.50%
Rek'Sai,1,1.30%,-,1,1,1,0,100%,10,3,8,6,210,6.01,15.4,442,-,-,66.70%,37%,21.20%
Singed,1,1.30%,-,1,1,1,0,100%,5,1,7,12,324,9.84,14.2,431,-,-,70.60%,29.40%,22.50%
Ashe,1,1.30%,-,1,1,0,1,0%,2,2,8,5,440,10,17.8,404,-,-,55.60%,11.10%,23.80%
Bard,1,1.30%,-,1,1,0,1,0%,1,2,2,1.5,26,0.8,6.9,213,-,-,75%,25%,14.40%
Brand,1,1.30%,-,1,1,0,1,0%,5,5,7,2.4,376,8.61,18.3,420,-,-,66.70%,27.80%,22.50%
Elise,1,1.30%,-,1,1,0,1,0%,0,2,4,2,107,3.91,6.7,246,-,-,100%,0%,17.40%
Evelynn,1,1.30%,-,1,1,0,1,0%,0,1,2,2,129,5.13,7,279,-,-,66.70%,0%,19%
Kassadin,1,1.30%,-,1,1,0,1,0%,0,3,1,0.33,204,7.22,8.3,293,-,-,20%,0%,19.60%
Lulu,1,1.30%,-,1,1,0,1,0%,0,0,5,5,332,9.36,12.7,359,-,-,100%,0%,21.30%
Mordekaiser,1,1.30%,-,1,1,0,1,0%,0,3,3,1,249,7.49,10.1,304,-,-,75%,0%,20%
Nami,1,1.30%,-,1,1,0,1,0%,0,3,1,0.33,10,0.44,4.1,181,-,-,20%,0%,12.20%
Nidalee,1,1.30%,-,1,1,0,1,0%,0,4,3,0.75,129,5.25,6.9,280,-,-,60%,0%,18.80%
Trundle,1,1.30%,-,1,1,0,1,0%,0,5,5,1,129,3.92,8.6,262,-,-,62.50%,0%,15.80%
