Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Aatrox,76,98.70%,45,31,17,17,14,54.80%,2.1,2.48,4.42,2.62,285.19,9.03,12.3,390,-,-,52.10%,16.80%,21.60%
Alistar,75,97.40%,47,28,12,15,13,53.60%,0.5,2.18,6.32,3.13,48.36,1.52,7.4,231,-,-,65%,4.80%,13.10%
Urgot,73,94.80%,45,28,17,13,15,46.40%,2.64,2.64,3.75,2.42,265.96,8.21,12.1,375,-,-,63.50%,26.20%,21.70%
Irelia,64,83.10%,40,24,13,14,10,58.30%,3.63,2.96,4.42,2.72,283.96,9.31,12.7,417,-,-,65%,29.30%,22.90%
Kai'Sa,62,80.50%,19,43,15,21,22,48.80%,3.88,1.84,4.09,4.34,324.49,10.17,13.9,437,-,-,72.40%,35.20%,24.80%
Xayah,62,80.50%,28,34,15,17,17,50%,3.74,1.79,4.59,4.64,345.74,10.27,15,446,-,-,67.90%,30.50%,25%
Akali,62,80.50%,51,11,8,8,3,72.70%,4.55,2.27,4.55,4,323.45,8.69,14.6,393,-,-,61%,30.50%,21.80%
Rakan,56,72.70%,25,31,13,17,14,54.80%,0.94,2.35,8.29,3.92,17,0.54,7.7,243,-,-,74.90%,7.60%,13.70%
Nocturne,53,68.80%,31,22,13,15,7,68.20%,2,2.32,5.14,3.08,177.68,5.19,11.1,325,-,-,62.10%,17.40%,18.10%
LeBlanc,51,66.20%,34,17,10,12,5,70.60%,4.18,2,4.71,4.44,285.29,8.43,13.6,400,-,-,61.90%,29.10%,21.40%
Tahm Kench,50,64.90%,34,16,10,7,9,43.80%,0.5,2.25,5,2.44,67.06,1.97,8.2,243,-,-,60.70%,5.50%,13.70%
Sion,44,57.10%,15,29,15,13,16,44.80%,0.9,2.03,5.76,3.27,244.31,7.54,10.8,334,-,-,59.60%,8%,19.40%
Xin Zhao,44,57.10%,19,25,12,14,11,56%,2.72,2.36,5.64,3.54,151.68,4.83,10.4,332,-,-,65.90%,21.50%,18.50%
Lissandra,43,55.80%,21,22,10,7,15,31.80%,2,2.77,5.09,2.56,271.36,8.81,11.5,373,-,-,66.40%,18.70%,21.70%
Taliyah,42,54.50%,25,17,10,10,7,58.80%,3.18,1.88,5.47,4.59,182.47,5.61,11.3,348,-,-,77%,28.30%,19.80%
Camille,42,54.50%,25,17,9,8,9,47.10%,2.41,2.88,4.29,2.33,214.76,6.81,11.6,367,-,-,64.80%,23.30%,20.40%
Gragas,41,53.20%,9,32,18,13,19,40.60%,1.41,2.75,6.22,2.77,118.38,3.47,9.6,281,-,-,69.10%,12.70%,16.10%
Syndra,40,51.90%,21,19,12,9,10,47.40%,2.68,2.16,5.11,3.61,312.95,9.15,13.2,385,-,-,72.50%,25%,22.20%
Galio,38,49.40%,17,21,10,10,11,47.60%,2.24,2.14,4.71,3.24,273.14,8.68,11.7,371,-,-,66.40%,21.40%,21.20%
Thresh,36,46.80%,15,21,11,9,12,42.90%,0.62,3.43,9.43,2.93,33.86,1.02,7.5,224,-,-,75.40%,4.60%,12.90%
