Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Gwen,23,27.70%,9,14,9,4,10,28.60%,2.57,2.43,2.43,2.06,284.5,8.75,12.8,393,13.6k,417,52%,26.90%,22.90%
Talon,23,27.70%,11,12,6,7,5,58.30%,3.42,2.08,4.42,3.76,187.75,6.04,10.9,349,10k,323,68.10%,29.70%,19.70%
Zoe,22,26.50%,8,14,8,9,5,64.30%,3.07,1.57,5,5.14,260.79,7.81,12.3,370,16.9k,506,68.90%,26.20%,21.20%
Azir,22,26.50%,12,10,6,4,6,40%,3.4,3.4,4.8,2.41,294.9,8.39,13.6,387,18.5k,528,61%,25.20%,22%
Draven,22,26.50%,18,4,3,1,3,25.00%,2.75,2,2.75,2.75,319,9.24,14.9,431,10.9k,315,55.00%,27.50%,25.20%
Olaf,20,24.10%,12,8,5,3,5,37.50%,3.63,3.25,6.5,3.12,219.5,5.67,13,336,15.4k,398,64.30%,23.00%,19.10%
Lulu,19,22.90%,3,16,6,9,7,56.30%,0.75,2.13,7.38,3.82,18,0.53,7.9,234,3.5k,103,74.70%,6.90%,13%
Ezreal,19,23%,8,11,8,6,5,54.50%,3.82,2.09,4.82,4.13,286.82,8.94,13.4,419,19k,592,66.00%,29.20%,23.30%
Braum,19,22.90%,8,11,9,4,7,36%,0.36,3.45,6.55,2,35,1.05,7.3,220,5.2k,157,77%,4.00%,13%
Qiyana,19,22.90%,9,10,5,7,3,70.00%,4.3,2.5,5.9,4.08,216.3,6.23,12.6,362,13k,375,61.80%,26.10%,19.30%
Renekton,16,19.30%,4,12,4,6,6,50.00%,1.58,2.5,3.92,2.2,276.92,8.61,12.3,382,10.7k,332,55.50%,16.00%,22.20%
Camille,16,19%,9,7,6,4,3,57.10%,2.29,4.29,7.14,2.2,260.43,7.61,13,380,11.5k,335,61.70%,15.00%,20.80%
Orianna,15,18.10%,3,12,9,4,8,33.30%,1.92,2.08,3.5,2.6,274.75,8.76,11.9,380,12.2k,389,67.00%,23.70%,22%
Poppy,15,18.10%,5,10,6,5,5,50%,1.5,2.2,5.2,3.05,180.9,5.86,10,324,7.6k,247,58.30%,13.00%,18.20%
Ziggs,15,18.10%,6,9,6,3,6,33.30%,2.33,2.33,4.89,3.1,344,9.06,14.8,391,25.6k,674,55.60%,17.90%,22.70%
Nautilus,14,16.90%,4,10,8,5,5,50.00%,0.4,4.7,8.4,1.87,33,0.97,7.6,222,4.1k,119,62.90%,2.90%,12.30%
Rell,12,14.50%,3,9,5,5,4,55.60%,1,3.56,8.44,2.66,35.78,1.06,7.8,232,4.4k,131,59.90%,6.30%,12.80%
Trundle,11,13.30%,5,6,4,3,3,50.00%,1.83,2.33,7,3.79,153.5,4.45,10.6,308,6k,175,69.70%,14.50%,17.40%
Galio,11,13%,8,3,2,1,2,33.30%,2.67,3.33,7.67,3.1,225.33,6.06,12.1,325,12k,322,86.10%,22.20%,19.50%
Gnar,10,12%,2,8,5,3,5,38%,2.13,2.5,3.13,2.1,258.63,7.91,12,367,12.9k,396,51.20%,20.70%,22%
Kai'Sa,10,12.00%,2,8,6,3,5,37.50%,4,2.25,5.88,4.39,321.25,9.23,14.8,426,15.4k,444,69.90%,28.30%,24.40%
Sett,9,10.80%,6,3,3,1,2,33%,1.67,5,2.33,0.8,129.67,4.23,8.4,275,7.6k,246,46.20%,19.20%,16.60%
Tryndamere,9,10.80%,6,3,3,0,3,0%,5,4.33,4.67,2.23,386.33,8.72,19.3,436,23.8k,537,67.40%,34.90%,25.20%
Lissandra,8,9.60%,3,5,3,4,1,80%,1.6,1.6,7,5.38,260.6,8.51,11.9,388,12.1k,395,67.20%,12.50%,20.70%
Jax,7,8.40%,-,7,6,3,4,42.90%,2.57,3.29,3.71,1.91,283.14,8.17,13.9,400,12.1k,350,51.20%,20.90%,23%
Gragas,7,8.40%,1,6,5,2,4,33%,2.67,4.17,7.67,2.48,202.33,5.59,11.7,323,13.3k,367,63.90%,17%,18.70%
Wukong,7,8.40%,4,3,2,2,1,67%,4.67,4.67,7.67,2.64,330.67,7.05,18.7,399,18.8k,401,56.10%,21%,21.90%
Amumu,7,8.40%,6,1,1,1,0,100.00%,2,4,10,3,31,0.81,9.4,245,6k,155,52.20%,8.70%,13%
Alistar,5,6.00%,-,5,5,2,3,40.00%,1.2,3.8,8,2.42,36.8,0.95,8.4,216,4.9k,126,82.10%,10.70%,12.90%
Yasuo,5,6.00%,1,4,4,2,2,50.00%,3.25,2.5,5.75,3.6,344.25,9.4,15.3,418,9.7k,264,68%,24.50%,23.60%
Malzahar,5,6.00%,2,3,3,2,1,66.70%,3.33,2,6,4.67,283.33,8.6,13.6,413,13k,394,65.10%,23.30%,22.90%
Gangplank,5,6.00%,3,2,2,2,0,100.00%,5,3.5,10,4.29,392.5,8.22,21.3,445,34.1k,715,75.00%,25.00%,25.10%
Malphite,5,6.00%,3,2,2,0,2,0.00%,0,3,1,0.33,208,7.25,8.5,298,5.7k,197,28.60%,0.00%,19.70%
Urgot,5,6.00%,5,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aatrox,4,4.80%,1,3,3,2,1,66.70%,2.67,1.33,3.67,4.75,293.33,8.25,13.9,390,10.8k,304,51.40%,21.60%,21.60%
Tristana,4,4.80%,1,3,2,2,1,67%,3,1.67,3.67,4,305,9.62,13.4,424,9.9k,311,57.10%,25.70%,23.10%
Rumble,4,4.80%,1,3,2,1,2,33%,1,3.33,3.33,1.3,248.67,7.83,11.1,351,13.1k,414,52.00%,12.00%,20.60%
Fiddlesticks,4,4.80%,2,2,1,1,1,50%,4,4.5,6,2.22,196.5,5.04,12.4,317,13.4k,345,66.70%,26.70%,18.10%
Jinx,4,4.80%,3,1,1,0,1,0%,0,3,2,0.67,308,10.13,11.6,380,11.4k,376,66.70%,0.00%,23.60%
Taliyah,4,5%,3,1,1,0,1,0%,2,5,3,1,191,5.45,10.8,308,10.5k,299,55.60%,22.20%,18.00%
Zilean,3,3.60%,-,3,2,2,1,67%,0.33,1.33,13,10,40,1.1,8.8,240,2.2k,60,88.90%,2%,13.10%
Pyke,3,3.60%,-,3,3,1,2,33%,4.33,5,6.33,2.13,47.67,1.32,10.8,298,7.3k,203,59.30%,24.10%,16.70%
Shen,3,3.60%,-,3,3,1,2,33.30%,1.33,3,9.67,3.67,45.33,1.19,9.1,238,4.3k,113,82.50%,10.00%,13.50%
Viktor,3,3.60%,-,3,2,0,3,0%,4.33,4,5,2.33,373,8.75,17.2,403,31.6k,741,65.10%,30.20%,24.10%
Annie,3,3.60%,1,2,1,1,1,50.00%,3,3,9,4,156.5,5.56,9.3,330,11.1k,396,77.40%,19.40%,18.00%
Varus,3,3.60%,1,2,1,0,2,0%,0.5,3,0.5,0.33,251.5,8.4,10,332,18k,600,66.70%,33.30%,22.20%
Fiora,2,2.40%,-,2,1,2,0,100%,5,1,4.5,9.5,322,10.12,14.5,456,12.3k,386,51%,27%,23.80%
Lillia,2,2.40%,-,2,2,1,1,50%,3.5,4,5,2.13,151,6.67,9,396,10k,443,89.50%,37%,21.60%
Maokai,2,2.40%,-,2,1,1,1,50.00%,1,3.5,7.5,2.43,51,1.53,8,240,13.8k,413,68.00%,8.00%,13.50%
Kassadin,2,2.40%,1,1,1,1,0,100.00%,8,2,8,8,321,8.24,17.9,458,32.8k,843,76.20%,38.10%,23.40%
Kalista,2,2.40%,1,1,1,0,1,0.00%,6,4,11,4.25,395,8.41,20.5,435,23.9k,509,89.50%,31.60%,25.40%
Xayah,2,2.40%,1,1,1,0,1,0.00%,0,5,5,1,306,8.36,12.5,342,8.8k,240,33.30%,0.00%,19.70%
Ashe,1,1.20%,-,1,1,0,1,0%,2,6,5,1.17,226,7.33,11.1,358,12.6k,410,53.80%,15.40%,20.50%
Sejuani,1,1.20%,-,1,1,0,1,0%,4,3,11,5,169,4.39,11.5,298,12.6k,326,100.00%,26.70%,17%
Seraphine,1,1.20%,-,1,1,0,1,0%,2,1,8,10,302,8.1,14.4,386,12.2k,326,91%,18%,23.50%
Shaco,1,1.20%,-,1,1,0,1,0%,0,4,1,0.25,125,4.62,6.7,247,3.8k,141,25.00%,0.00%,17.10%
Yone,1,1.20%,-,1,1,0,1,0%,2,3,4,2,291,8.3,14,400,8.6k,245,67%,22%,23.40%
Vladimir,1,1.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
