Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Lee Sin,82,98.80%,45,37,16,22,15,59.50%,3.16,2.43,7.59,4.42,190.73,5.35,11.9,333,9.1k,256,73.00%,21.50%,18.60%
Twisted Fate,80,96.40%,56,24,12,13,11,54.20%,1.96,1.83,7.92,5.39,276.96,8,14,404,14.4k,416,70.50%,14.00%,22.40%
Yuumi,80,96.40%,65,15,10,8,7,53.30%,1.4,1.4,9.53,7.81,7.53,0.23,7.7,242,10.4k,324,79.60%,10.20%,13.60%
LeBlanc,74,89%,51,23,12,13,10,56.50%,4.13,1.91,5.26,4.91,288.87,8.32,13.8,397,20.6k,594,69.20%,30.40%,22.50%
Graves,65,78%,29,36,15,21,15,58.30%,2.94,2.44,4.19,2.92,305.94,9.34,14,427,15.5k,473,56%,23.00%,23.60%
Aphelios,65,78.30%,34,31,11,19,12,61.30%,3.71,2.03,4,3.79,311.94,9.33,14.5,433,15k,448,58.90%,28.30%,24.00%
Lucian,65,78.30%,45,20,7,12,8,60.00%,3.95,2.85,5.75,3.4,336.9,9.35,15.5,429,19.5k,542,67.80%,27.60%,24.00%
Jarvan IV,64,77.10%,33,31,16,14,17,45.20%,2.19,3.1,7.94,3.27,178.39,5.16,11,318,8.4k,243,82.80%,17.90%,18.10%
Miss Fortune,61,73.50%,10,51,15,22,29,43.10%,3.51,2.16,4.16,3.55,327.49,9.32,14.9,425,15.7k,446,58.40%,26.70%,24.20%
Ryze,56,67.50%,32,24,11,11,13,45.80%,2.96,2.58,5.04,3.1,299.54,8.94,13.6,408,11.9k,356,62.30%,23.10%,22.80%
Xin Zhao,55,66.30%,25,30,13,10,20,33.30%,1.9,3.53,5.33,2.05,169.5,4.98,10.3,304,9.5k,280,69.30%,18.20%,17.90%
Leona,54,65.10%,22,32,14,11,21,34.40%,0.69,3.22,6.28,2.17,38.06,1.13,7.4,222,3.2k,95,58.20%,6%,12.80%
Irelia,54,65%,45,9,9,2,7,22.20%,2.11,4.67,3.89,1.29,294.78,8.75,13.4,398,9.4k,281,62.80%,22.10%,23.30%
Kennen,51,61.40%,29,22,14,16,6,72.70%,4.27,3.36,6.73,3.27,279.55,7.53,14.6,392,18.8k,506,60.50%,23.50%,21.20%
Jayce,46,55.40%,23,23,11,10,13,43.50%,3.17,3.61,5.26,2.34,291.74,8.6,14,413,21.5k,635,65%,24.50%,23.40%
Rakan,45,54.20%,16,29,14,18,11,62.10%,0.83,2.59,10.59,4.41,40.17,1.14,8.3,235,4.6k,131,75.70%,5.50%,13.00%
Nami,33,40%,20,13,5,7,6,53.80%,0.85,2.23,10.08,4.9,17,0.48,8.2,232,6.6k,185,82%,6.30%,13%
Jhin,30,36.10%,2,28,11,18,10,64%,3.32,1.11,5.93,8.35,296.93,8.9,13.8,415,13.3k,399,65.10%,23.40%,22.80%
Thresh,30,36.10%,18,12,9,7,5,58%,0.42,2.17,8.83,4.27,33.42,0.99,7.8,231,3.4k,102,71.20%,3.20%,12.60%
Viego,25,30.10%,7,18,9,10,8,55.60%,3.56,2.11,6.94,4.97,199.78,5.56,12.3,341,10.2k,284,66.10%,22.40%,18.70%
Sylas,24,28.90%,8,16,13,8,8,50.00%,3.94,3.38,4.81,2.59,288.44,8.09,14,392,15.1k,424,65.40%,29.40%,22.30%
Syndra,24,28.90%,9,15,8,10,5,66.70%,4.2,2,6.93,5.57,298.27,8.31,14.4,400,18.3k,511,65.20%,24.60%,21.80%
