Gangplank,20,17.50%,7,13,7,6,7,46.20%,2.92,2.85,5.08,2.81,275.85,8.56,14,435,20k,621,68%,24.80%,24.20%,
Lulu,20,17.50%,8,12,8,6,6,50%,1.08,2.08,7.33,4.04,129.42,4.11,9,285,6.7k,213,74.30%,9.60%,16.60%,
Lee Sin,19,16.70%,5,14,9,5,9,35.70%,2.79,3,5.79,2.86,173.93,5.18,10.8,321,8.3k,247,72.30%,23.50%,18.60%,
Wukong,19,16.70%,6,13,5,5,8,38.50%,3,3.31,4.69,2.33,249.38,7.73,12.3,382,12.6k,390,66.70%,26%,22.40%,
Evelynn,18,15.80%,11,7,6,4,3,57.10%,4,3,4.71,2.9,193.14,6.05,11.3,354,13.1k,410,62.20%,28.60%,19.60%,
Braum,16,14%,4,12,10,6,6,50%,0.58,2.58,8.17,3.39,34.67,1.12,7.1,230,4.9k,158,70%,4.70%,12.90%,
Jax,15,13.20%,7,8,4,6,2,75%,4.38,2.63,4.13,3.24,306.63,8.61,15.3,431,16.2k,455,54.40%,28%,22.70%,
Mordekaiser,15,13.20%,9,6,4,1,5,16.70%,4.5,3.5,3.17,2.19,256.83,7.4,13.2,379,16.2k,467,67.60%,39.70%,22.60%,
Sion,14,12.30%,3,11,6,4,7,36.40%,1.45,2.73,5.27,2.47,240.36,7.74,11,354,10.7k,345,48.70%,10.50%,20.20%,
Ekko,13,11.40%,4,9,6,6,3,66.70%,4.22,1.22,6.56,8.82,278.89,9.05,13,422,13.5k,437,70.80%,27.70%,22.80%,
Jayce,11,9.60%,3,8,7,2,6,25%,3.38,3.75,2.63,1.6,265.38,8.67,12.2,398,19.2k,629,64.90%,36.50%,23.30%,
Kassadin,11,9.60%,6,5,3,3,2,60%,6.8,4,2.4,2.3,264.2,8.37,13.4,423,17k,538,54.10%,40%,23.70%,
Miss Fortune,9,7.90%,1,8,5,5,3,62.50%,3.88,2.63,6.38,3.9,317.25,9.5,14.5,435,17.7k,529,70.70%,26.70%,24.10%,
Aphelios,9,7.90%,2,7,6,3,4,42.90%,2.86,2.86,4.43,2.55,279.86,8.89,12.8,407,17.2k,548,62.20%,24.40%,23.10%,
Malphite,9,7.90%,3,6,5,3,3,50%,2,2.5,6.17,3.27,218.17,7.45,10.6,361,11.9k,406,59.80%,14.60%,20.50%,
Karma,9,7.90%,4,5,5,4,1,80%,0.4,1.6,9.8,6.38,25.8,0.85,7.2,239,4.8k,158,82.30%,3.20%,13%,
Lux,9,7.90%,4,5,4,2,3,40%,0.4,1.8,5.8,3.44,42.4,1.27,7.5,226,4k,121,75.60%,4.90%,13.10%,
Blitzcrank,9,7.90%,5,4,3,2,2,50%,1,2.5,5.75,2.7,26.25,0.87,6.8,226,4k,132,50%,7.40%,12.60%,
Irelia,8,7%,6,2,2,1,1,50%,4,3.5,3,2,282.5,9.66,12.7,435,12.9k,441,56%,32%,24.30%,
Swain,8,7%,7,1,1,1,0,100%,5,4,5,2.5,234,6.91,12.9,380,27k,798,76.90%,38.50%,20.80%,
Kennen,7,6.10%,3,4,1,4,0,100%,3.5,3.25,7.5,3.38,275.75,8.81,13.8,440,19k,606,71%,22.60%,22.40%,
Gragas,7,6.10%,3,4,4,2,2,50%,3.5,2.5,7,4.2,199.75,5.78,11.5,333,14.7k,426,63.60%,21.20%,18.80%,
Vladimir,7,6.10%,3,4,3,2,2,50%,2.75,2.5,2,1.9,295.75,9.05,12.9,396,18.9k,578,42.20%,24.40%,22.80%,
Ziggs,6,5.30%,1,5,3,1,4,20%,1.4,2.2,2.8,1.91,277,8.74,12.3,390,19.4k,613,52.50%,17.50%,23.60%,
Jarvan IV,6,5.30%,2,4,3,2,2,50%,0.75,2.5,8.5,3.7,156.5,4.82,9.4,291,6.1k,188,82.20%,6.70%,16.70%,
Taric,5,4.40%,-,5,3,1,4,20%,0,1.8,3.6,2,32.8,1.16,5.9,211,1.4k,49,62.10%,0%,12.60%,
Karthus,5,4.40%,3,2,2,0,2,0%,3,6,6.5,1.58,218.5,7.15,11.4,372,19.7k,644,76%,24%,22.50%,
Tristana,4,3.50%,-,4,4,2,2,50%,2.75,3,5,2.58,317.5,9.11,14.3,411,13.8k,395,60.80%,21.60%,23.70%,
Draven,4,3.50%,1,3,3,1,2,33.30%,4,2.33,5.67,4.14,275.33,8.1,14.8,435,15.5k,455,74.40%,30.80%,23.60%,
Yuumi,4,3.50%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
