Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Dr. Mundo,7,22.60%,-,7,2,5,2,71.40%,0.71,1.71,6,3.92,123.71,3.8,8.4,258,-,-,-,-,-
Graves,7,22.60%,-,7,4,3,4,42.90%,3.14,3.29,4.71,2.39,265.71,7.57,11.5,327,-,-,-,-,-
Leona,7,22.60%,-,7,5,2,5,28.60%,1.14,4.43,8.29,2.13,18,0.53,7.2,211,-,-,-,-,-
Olaf,7,22.60%,2,5,4,2,3,40%,4.6,3.8,7.4,3.16,179.6,4.89,11.3,308,-,-,-,-,-
Lee Sin,7,22.60%,4,3,2,3,0,100%,4.33,3,14.33,6.22,124.67,3.59,10,287,-,-,-,-,-
Nidalee,7,22.60%,4,3,2,3,0,100%,2.67,1.33,6.67,7,281.67,8.39,12.9,383,-,-,-,-,-
Twisted Fate,7,22.60%,7,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taric,6,19.40%,-,6,5,2,4,33.30%,0.33,2.83,7.17,2.65,13.17,0.38,7,202,-,-,-,-,-
Lulu,6,19.40%,-,6,4,1,5,16.70%,0.83,3.83,4.33,1.35,29.83,0.89,6.8,203,-,-,-,-,-
Lux,6,19.40%,1,5,4,2,3,40%,1.6,1.4,5,4.71,179.4,5.35,10,299,-,-,-,-,-
Shyvana,6,19.40%,1,5,5,0,5,0%,0.8,3.6,4.2,1.39,141.2,3.79,8.1,217,-,-,-,-,-
Malphite,6,19.40%,2,4,3,2,2,50%,1.25,2.25,6.5,3.44,156.25,4.89,8.8,276,-,-,-,-,-
Diana,6,19.40%,3,3,2,1,2,33.30%,3,3.33,4.67,2.3,208.33,5.88,10.2,288,-,-,-,-,-
Udyr,5,16.10%,-,5,4,0,5,0%,0.6,3.8,2.2,0.74,128.4,4.06,7.4,233,-,-,-,-,-
Morgana,5,16.10%,1,4,3,1,3,25%,3.25,2.25,3.5,3,251.5,7.22,10.5,302,-,-,-,-,-
Vayne,4,12.90%,-,4,2,3,1,75%,7.25,2.75,6.5,5,230,7.47,11.7,381,-,-,-,-,-
Zyra,4,12.90%,-,4,2,2,2,50%,0,2.75,9.5,3.45,42.5,1.2,7.8,220,-,-,-,-,-
Cassiopeia,4,12.90%,-,4,2,1,3,25%,4.75,2.75,2.75,2.73,204.75,6.9,9.4,317,-,-,-,-,-
Gragas,4,12.90%,2,2,2,0,2,0%,1,1.5,2.5,2.33,306,7.75,11.2,283,-,-,-,-,-
Katarina,4,12.90%,3,1,1,0,1,0%,1,5,2,0.6,169,6.17,7.1,259,-,-,-,-,-
Miss Fortune,3,9.70%,-,3,1,2,1,66.70%,3.33,3,5.33,2.89,235.33,6.92,11.6,341,-,-,-,-,-
Caitlyn,3,9.70%,-,3,3,1,2,33.30%,2.67,1.33,2.33,3.75,297.67,8.97,11.7,352,-,-,-,-,-
Ryze,3,9.70%,-,3,2,1,2,33.30%,2,3.67,4.33,1.73,172.67,6.44,7.6,284,-,-,-,-,-
Cho'Gath,3,9.70%,1,2,2,1,1,50%,1.5,2,3.5,2.5,125.5,3.24,9.2,236,-,-,-,-,-
Sivir,3,9.70%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singed,2,6.50%,-,2,1,2,0,100%,3.5,1,6.5,10,287,8.17,13.2,376,-,-,-,-,-
Xin Zhao,2,6.50%,-,2,2,2,0,100%,2,2.5,15.5,7,136,4.24,9.6,299,-,-,-,-,-
Zilean,2,6.50%,-,2,1,1,1,50%,3.5,3.5,8,3.29,212,7.3,9.3,319,-,-,-,-,-
Darius,2,6.50%,-,2,2,0,2,0%,2.5,4,2.5,1.25,188,5.05,8.8,238,-,-,-,-,-
Nocturne,2,6.50%,-,2,2,0,2,0%,2.5,5.5,9,2.09,224.5,4.65,12.9,267,-,-,-,-,-
Ahri,2,6.50%,1,1,1,1,0,100%,6,0,3,9,184,6.13,11.4,380,-,-,-,-,-
Draven,2,6.50%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amumu,1,3.20%,-,1,1,1,0,100%,4,6,16,3.33,145,3.47,12.4,297,-,-,-,-,-
Soraka,1,3.20%,-,1,1,1,0,100%,1,0,11,12,12,0.34,8.3,232,-,-,-,-,-
Jarvan IV,1,3.20%,-,1,1,0,1,0%,6,3,14,6.67,297,7.16,14,337,-,-,-,-,-
Riven,1,3.20%,-,1,1,0,1,0%,2,6,1,0.5,242,5.97,10.2,251,-,-,-,-,-
Swain,1,3.20%,-,1,1,0,1,0%,8,5,10,3.6,243,5.86,13.2,318,-,-,-,-,-
Tristana,1,3.20%,-,1,1,0,1,0%,0,5,0,0,200,7.01,7,245,-,-,-,-,-
Gangplank,1,3.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Twitch,1,3.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
