Pantheon,120,100%,119,1,1,1,0,100%,5,7,10,2.14,261,6.52,14.5,362,-,-,71.40%,23.80%,19.10%,
Qiyana,109,90.80%,86,23,15,13,10,56.50%,4.09,3,5.7,3.26,191.65,5.95,11.5,359,-,-,60.30%,25.20%,19.60%,
Xayah,102,85%,45,57,21,35,22,61.40%,4.39,1.75,4.86,5.27,339.32,10.27,15.4,467,-,-,68.90%,32.70%,25.50%,
Syndra,96,80%,67,29,15,13,16,44.80%,3.45,2.55,4,2.92,315.52,8.86,14.2,400,-,-,59.30%,27.50%,22.50%,
Renekton,95,79.20%,62,33,17,17,16,51.50%,2.85,2.64,3.42,2.38,262.27,7.85,13.1,391,-,-,47.60%,21.60%,21.40%,
Akali,89,74.20%,54,35,20,17,18,48.60%,3.89,1.83,3.83,4.22,292.49,8.76,13.6,406,-,-,54%,27.20%,22.20%,
Kai'Sa,88,73.30%,17,71,22,37,34,52.10%,4.69,1.9,4.11,4.63,307.1,9.58,14.5,453,-,-,65.20%,34.80%,24.90%,
Gragas,83,69.20%,34,49,18,32,17,65.30%,1.88,2.78,7.53,3.39,128.57,3.86,10,301,-,-,66%,13.20%,16.40%,
Nautilus,77,64.20%,25,52,21,28,24,53.80%,1.08,3.33,7.25,2.5,75,2.22,8.6,253,-,-,58.80%,7.60%,14%,
Gangplank,72,60%,34,38,16,21,17,55.30%,2.53,2.61,6.26,3.37,278.5,8.03,14.5,417,-,-,63.60%,18.30%,22.80%,
Lee Sin,71,59.20%,13,58,18,30,28,51.70%,2.66,2.5,5.97,3.45,159.55,4.84,10.8,329,-,-,67.80%,20.90%,18%,
Rakan,71,59.20%,28,43,15,23,20,53.50%,0.51,2.26,9.21,4.31,18.19,0.54,8.3,247,-,-,76.70%,4%,13.80%,
Kayle,67,55.80%,43,24,16,12,12,50%,2.33,2.92,6.04,2.87,279.54,8.55,13.4,409,-,-,63%,17.60%,22.50%,
Elise,66,55%,34,32,15,16,16,50%,3.19,2.84,5.69,3.12,172.63,5.08,11.4,336,-,-,62.80%,22.60%,18.30%,
LeBlanc,65,54.20%,44,21,13,11,10,52.40%,3.19,2.24,4,3.21,264.86,7.91,12.6,376,-,-,59.20%,26.30%,20.90%,
Ryze,62,51.70%,26,36,16,22,14,61.10%,3.08,2.58,5.36,3.27,312.47,9.67,14.1,438,-,-,58.50%,21.30%,23.20%,
Thresh,44,36.70%,9,35,15,16,19,45.70%,0.77,2.94,8.34,3.1,15.91,0.48,8.1,244,-,-,66.60%,5.60%,13.50%,
Rek'Sai,43,35.80%,21,22,13,11,11,50%,3.14,2.41,4.64,3.23,170.64,5.12,11.2,337,-,-,59.60%,24%,18.40%,
Tristana,39,32.50%,21,18,15,8,10,44.40%,3.56,2.56,3.33,2.7,314.33,8.94,14.8,421,-,-,59.60%,30.80%,24%,
Yuumi,39,32.50%,26,13,6,5,8,38.50%,1.46,1.85,10,6.21,59.92,1.74,10.6,307,-,-,83.70%,10.70%,16.90%,
Ezreal,36,30%,11,25,14,11,14,44%,3,2.2,4.12,3.24,332.92,9.66,15.1,439,-,-,66.40%,28%,24.80%,
Vladimir,33,27.50%,16,17,7,9,8,52.90%,3.53,2.76,5.47,3.26,265.12,8.37,13.3,420,-,-,59.30%,23.30%,23.10%,
Yasuo,33,27.50%,18,15,8,10,5,66.70%,2.6,2.53,5.47,3.18,279.87,9.05,13,421,-,-,64.40%,20.70%,22.80%,
Jayce,32,26.70%,13,19,8,8,11,42.10%,2.79,3.05,4.16,2.28,270.84,8.48,13,407,-,-,64.70%,26%,22.90%,
Twisted Fate,32,26.70%,23,9,6,4,5,44.40%,1.22,3,4.11,1.78,263.56,8.21,13.3,414,-,-,56.50%,12.90%,23.20%,
Jarvan IV,31,25.80%,13,18,13,7,11,38.90%,1.17,2.83,7.78,3.16,149.78,4.52,10,301,-,-,80.90%,10.60%,17.30%,
Leona,30,25%,10,20,11,13,7,65%,0.75,3.7,7.85,2.32,73,2.08,9,256,-,-,57.30%,5%,13.70%,
Olaf,30,25%,20,10,7,6,4,60%,3.7,2.8,4.2,2.82,149.3,4.89,10.3,338,-,-,57.20%,26.80%,18.40%,
Lucian,28,23.30%,12,16,12,5,11,31.30%,3.5,3.25,3.69,2.21,292.38,8.94,13.5,413,-,-,61.50%,29.90%,23.70%,
Morgana,28,23.30%,19,9,4,5,4,55.60%,1.22,2.44,7.33,3.5,56.44,1.54,9.7,266,-,-,63.60%,9.10%,14.80%,
Irelia,28,23.30%,20,8,8,3,5,37.50%,3.63,3.75,4.38,2.13,289.88,8.52,13.8,405,-,-,59.30%,26.90%,22.60%,
Gnar,26,21.70%,8,18,11,11,7,61.10%,2.06,2.44,5.61,3.14,258.44,7.41,12.9,369,-,-,59.20%,15.90%,20.60%,
Galio,25,20.80%,10,15,12,5,10,33.30%,1.33,3.27,6.73,2.47,157.33,4.93,9.5,299,-,-,67.20%,11.10%,17.20%,
Pyke,25,20.80%,12,13,10,4,9,30.80%,1.77,3.31,4.54,1.91,72.54,2.3,9.1,288,-,-,60.30%,16.90%,16%,
Rumble,23,19.20%,18,5,3,3,2,60%,4.6,2,7.6,6.1,223,7.16,12.1,388,-,-,77.20%,29.10%,21.20%,
Camille,21,17.50%,7,14,10,8,6,57.10%,2.5,2.64,5.29,2.95,252.14,7.98,12.3,388,-,-,61.60%,19.80%,21.30%,
Alistar,21,17.50%,7,14,8,5,9,35.70%,0.43,3.64,5.57,1.65,44.71,1.54,6.4,221,-,-,59.60%,4.30%,12.90%,
Kled,21,17.50%,12,9,7,5,4,55.60%,2.56,1.67,3.67,3.73,240.89,7.63,11.4,362,-,-,51.90%,21.30%,20.50%,
Nocturne,20,16.70%,8,12,10,3,9,25%,1.83,3.42,6.08,2.32,176.75,5.22,10.7,315,-,-,72.50%,16.80%,18.60%,
Heimerdinger,20,16.70%,13,7,4,4,3,57.10%,2.86,2.43,6.71,3.94,282.57,7.15,14.7,371,-,-,61.50%,18.30%,20.20%,
Skarner,17,14.20%,9,8,7,1,7,12.50%,0.5,3.25,7.25,2.38,155,4.2,10.2,277,-,-,72.10%,4.70%,16.40%,
Ornn,16,13.30%,6,10,7,7,3,70%,1.7,2.7,7.2,3.3,176.2,5.6,10.2,324,-,-,58.60%,11.20%,17.40%,
Orianna,15,12.50%,2,13,9,7,6,53.80%,2.08,2.62,7,3.47,309.08,8.49,14,385,-,-,69.40%,15.90%,21.50%,
Veigar,15,12.50%,9,6,5,3,3,50%,3.17,1.67,5.83,5.4,255.17,8.19,12.3,395,-,-,72%,25.30%,22.10%,
Blitzcrank,14,11.70%,6,8,6,3,5,37.50%,1.38,4.25,6.75,1.91,17.13,0.47,9.3,256,-,-,49.20%,8.30%,13.90%,
Aatrox,13,10.80%,2,11,9,5,6,45.50%,2.55,2.55,3.64,2.43,211.45,7.4,10.6,372,-,-,56.20%,23.10%,21.30%,
Taliyah,13,10.80%,4,9,4,6,3,66.70%,3.11,2,6.56,4.83,169.11,5.26,11.1,345,-,-,65.40%,21.10%,18.30%,
Cassiopeia,13,10.80%,5,8,5,4,4,50%,3,3.88,5.5,2.19,272.88,8.33,13.1,399,-,-,59.60%,21.10%,22%,
Quinn,13,10.80%,9,4,4,2,2,50%,3.75,3.25,3,2.08,281.25,8.43,13.6,407,-,-,54%,30%,22.90%,
Kennen,12,10%,5,7,4,5,2,71.40%,2.57,2.86,6.29,3.1,251.86,7.89,12.7,398,-,-,56.90%,16.50%,20.90%,
Tahm Kench,11,9.20%,4,7,4,5,2,71.40%,1.14,2.43,13.86,6.18,87.14,2.48,10.2,291,-,-,77.20%,5.90%,15%,
Varus,10,8.30%,1,9,4,6,3,66.70%,6.44,2.67,7.22,5.13,312.67,9.42,15.6,470,-,-,69.90%,33%,24.80%,
Shen,10,8.30%,2,8,7,3,5,37.50%,1.75,4.88,5.63,1.51,160.88,4.81,10.3,307,-,-,67%,15.90%,17.70%,
Draven,10,8.30%,7,3,2,2,1,66.70%,4,2,5.33,4.67,266.67,9.38,13.3,466,-,-,70%,30%,24.30%,
