Corki,9,7.50%,1,8,5,4,4,50%,2.63,2,3.75,3.19,340,9.62,15.1,428,-,-,60.70%,25%,23.80%,
Garen,9,7.50%,1,8,4,3,5,37.50%,3.5,3.13,6.5,3.2,294.75,7.68,14.5,377,-,-,60.20%,21.10%,20.60%,
Lissandra,9,7.50%,3,6,6,3,3,50%,1.83,2.5,4.17,2.4,256.83,8.22,11.6,371,-,-,57.10%,17.50%,20.80%,
Karthus,8,6.70%,3,5,4,1,4,20%,2.4,2.6,2.8,2,220.6,6.31,12.1,346,-,-,56.50%,26.10%,20.30%,
Fiora,8,6.70%,4,4,4,2,2,50%,3.5,4,4,1.88,351.25,9.71,17.1,472,-,-,52.60%,24.60%,24.50%,
Karma,8,6.70%,4,4,4,2,2,50%,1.25,2.75,7.75,3.27,139.5,3.84,10.5,289,-,-,76.60%,10.60%,16.40%,
Caitlyn,8,6.70%,4,4,4,0,4,0%,2.5,3.5,2.5,1.43,289.75,9.43,12.4,404,-,-,51.30%,25.60%,25%,
Sion,7,5.80%,-,7,6,1,6,14.30%,1,2.86,3.43,1.55,262,7.54,11.4,328,-,-,57.40%,13%,19.80%,
Neeko,7,5.80%,1,6,5,3,3,50%,1.83,2.67,5.67,2.81,229.33,7.52,10.8,355,-,-,59.20%,14.50%,19.70%,
Mordekaiser,7,5.80%,1,6,4,0,6,0%,3.67,3.83,3,1.74,275.17,7.56,13.8,380,-,-,42.10%,23.20%,21.40%,
Ashe,7,5.80%,3,4,4,2,2,50%,3.25,2,6.75,5,272,8.76,12.5,402,-,-,66.70%,21.70%,22.80%,
Vayne,7,5.80%,5,2,1,2,0,100%,3,1.5,6,6,300,9.6,14.3,457,-,-,51.40%,17.10%,22.60%,
Cho'Gath,6,5%,1,5,3,2,3,40%,3.4,2.2,4.8,3.73,248,7.02,12.8,362,-,-,50.60%,21%,19.90%,
Sivir,6,5%,2,4,4,2,2,50%,3.75,1.75,4.5,4.71,391.75,10.41,16.8,446,-,-,62.30%,28.30%,24.70%,
Jax,6,5%,5,1,1,1,0,100%,1,0,1,2,240,8.59,10.3,367,-,-,18.20%,9.10%,19.90%,
Zoe,5,4.20%,-,5,5,2,3,40%,2.8,1,5.8,8.6,240.8,7.36,12,368,-,-,57.30%,18.70%,19.50%,
Azir,5,4.20%,-,5,4,1,4,20%,2.2,2.6,2.4,1.77,263.2,9.03,11.1,381,-,-,62.20%,29.70%,23.10%,
Ekko,5,4.20%,-,5,4,1,4,20%,1.6,4.4,5.2,1.55,164.8,4.86,10.2,301,-,-,73.90%,17.40%,18.20%,
Jinx,4,3.30%,1,3,3,1,2,33.30%,3,1.67,4.33,4.4,300.67,9.9,13.3,438,-,-,62.90%,25.70%,24.30%,
Jhin,4,3.30%,2,2,1,1,1,50%,6.5,1,7,13.5,427,10.11,20.4,483,-,-,58.70%,28.30%,25.10%,
Braum,4,3.30%,3,1,1,0,1,0%,1,3,3,1.33,84,2.16,9.8,251,-,-,23.50%,5.90%,14.20%,
Poppy,3,2.50%,-,3,3,1,2,33.30%,2,4.67,8.33,2.21,183,5.01,11.2,307,-,-,66%,12.80%,17.30%,
Fiddlesticks,3,2.50%,1,2,2,2,0,100%,1,2,8.5,4.75,22.5,0.62,8.8,243,-,-,61.30%,6.50%,13%,
Sylas,3,2.50%,1,2,2,0,2,0%,2.5,4,7,2.38,241.5,6.3,12.8,333,-,-,55.90%,14.70%,19.50%,
Hecarim,2,1.70%,-,2,1,1,1,50%,5.5,2,4.5,5,163.5,5.43,11.4,377,-,-,66.70%,36.70%,20.40%,
Kha'Zix,2,1.70%,-,2,2,1,1,50%,2.5,4.5,5.5,1.78,189.5,4.99,12.9,340,-,-,64%,20%,18.70%,
Lulu,2,1.70%,-,2,2,1,1,50%,0.5,2.5,10.5,4.4,24.5,0.64,9.3,244,-,-,88%,4%,14%,
Sejuani,2,1.70%,-,2,2,0,2,0%,0.5,2.5,1,0.6,129,4.73,7.6,279,-,-,100%,33.30%,19.30%,
Sona,2,1.70%,1,1,1,0,1,0%,1,3,5,2,257,5.91,18.4,424,-,-,75%,12.50%,22.70%,
Volibear,2,1.70%,1,1,1,0,1,0%,1,4,6,1.75,35,1.31,5.6,210,-,-,77.80%,11.10%,13.20%,
Kalista,2,1.70%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kog'Maw,1,0.80%,-,1,1,1,0,100%,12,6,8,3.33,402,9.16,22.4,509,-,-,90.90%,54.50%,26.90%,
Malphite,1,0.80%,-,1,1,1,0,100%,3,1,9,12,245,8.55,12.1,424,-,-,60%,15%,20.30%,
Urgot,1,0.80%,-,1,1,1,0,100%,8,5,10,3.6,287,5.9,20.3,418,-,-,72%,32%,21%,
Yorick,1,0.80%,-,1,1,1,0,100%,2,2,3,2.5,254,8.18,12.6,407,-,-,27.80%,11.10%,20%,
Anivia,1,0.80%,-,1,1,0,1,0%,1,2,0,0.5,362,11.21,12.8,397,-,-,25%,25%,24.60%,
Bard,1,0.80%,-,1,1,0,1,0%,0,7,10,1.43,31,0.79,9.1,233,-,-,83.30%,0%,13.80%,
Lux,1,0.80%,-,1,1,0,1,0%,0,3,1,0.33,15,0.49,6.2,204,-,-,50%,0%,12.80%,
Nidalee,1,0.80%,-,1,1,0,1,0%,1,2,1,1,102,4.49,6.3,278,-,-,100%,50%,19.60%,
Rengar,1,0.80%,-,1,1,0,1,0%,5,4,0,1.25,208,7.96,10.6,404,-,-,50%,50%,23.10%,
Vi,1,0.80%,-,1,1,0,1,0%,0,7,4,0.57,113,3.64,7.8,250,-,-,36.40%,0%,14.90%,
Viktor,1,0.80%,-,1,1,0,1,0%,1,2,2,1.5,245,7.52,10.2,314,-,-,60%,20%,19.50%,
Xin Zhao,1,0.80%,-,1,1,0,1,0%,3,3,2,1.67,179,5.24,11.4,333,-,-,55.60%,33.30%,19.60%,
Ziggs,1,0.80%,-,1,1,0,1,0%,5,1,4,9,539,8.5,24.2,382,-,-,56.30%,31.30%,23.30%,
Zilean,1,0.80%,-,1,1,0,1,0%,1,1,1,2,271,9.19,10.1,343,-,-,100%,50%,23.20%,
