Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Alistar,78,100%,73,5,5,4,1,80%,2,2.6,8.2,3.92,163.8,5.31,10.1,327,-,-,72.90%,14.30%,19.40%
Zilean,75,96.20%,62,13,11,6,7,46.20%,2.23,2.62,7.08,3.56,150.08,4.21,10.8,302,-,-,68.80%,16.50%,18.70%
Lee Sin,72,92.30%,29,43,16,24,19,55.80%,2.91,2.74,7.21,3.69,102.6,2.84,10.4,287,-,-,65.90%,18.90%,17.50%
Maokai,72,92.30%,45,27,12,17,10,63%,2.7,3.11,9.59,3.95,221.52,6.16,12.3,342,-,-,67.90%,14.90%,19.90%
Ryze,68,87.20%,31,37,14,22,15,59.50%,3.49,3.16,5.54,2.85,232.95,6.65,12.3,351,-,-,61.60%,23.80%,21%
Kha'Zix,66,84.60%,8,58,18,25,33,43.10%,2.98,2.57,4.79,3.03,137.84,3.8,10.8,299,-,-,61.10%,23.40%,18.80%
Thresh,63,80.80%,19,44,15,24,20,54.50%,0.8,3.34,9.84,3.18,31.27,0.88,8.4,237,-,-,68.10%,5.10%,14.30%
Lucian,61,78.20%,17,44,15,23,21,52.30%,4.77,2.36,4.93,4.11,325.05,8.68,15.1,404,-,-,69%,33.90%,24.60%
Janna,53,67.90%,8,45,14,28,17,62.20%,0.33,2.11,11.13,5.43,19.87,0.55,9.2,255,-,-,73.50%,2.10%,15.30%
Rumble,40,51.30%,15,25,11,13,12,52%,2.72,3.76,7.88,2.82,211,5.34,12.3,310,-,-,63.70%,16.30%,19.20%
Tristana,39,50%,7,32,15,12,20,37.50%,3.94,2.19,3.41,3.36,299.78,8.73,13.3,388,-,-,68.30%,36.60%,25.10%
Zed,38,48.70%,19,19,9,9,10,47.40%,4.53,3.58,4.32,2.47,306.79,7.88,14.4,369,-,-,63.20%,32.30%,23.20%
Twitch,35,44.90%,11,24,9,17,7,70.80%,5.96,2.42,7.58,5.6,225.63,6.6,13.1,383,-,-,63.60%,28%,21.60%
