Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Rengar,33,42.30%,19,14,6,12,2,85.70%,4.36,2.43,9.57,5.74,117.07,3.42,11.6,338,-,-,65%,20.30%,18.30%
Orianna,32,41%,5,27,12,14,13,51.90%,3.22,2.7,5.7,3.3,300.63,8.41,13.2,368,-,-,73.50%,26.50%,23.20%
Yasuo,30,38.50%,15,15,8,10,5,66.70%,4.07,2.27,6,4.44,285.73,8.89,13,405,-,-,59.70%,24.10%,23.40%
Nami,29,37.20%,3,26,12,10,16,38.50%,0.88,3.27,8.15,2.76,18.58,0.48,9.2,239,-,-,73.70%,7.20%,15.20%
Syndra,25,32.10%,11,14,9,5,9,35.70%,4.21,3.64,5.07,2.55,337.21,8.13,15.1,365,-,-,64.40%,29.20%,23.50%
Nidalee,25,32.10%,17,8,6,1,7,12.50%,2.25,5.25,2.75,0.95,231.38,6.21,11.5,309,-,-,48.20%,21.70%,20.70%
Fizz,24,30.80%,11,13,7,5,8,38.50%,5,3.08,4.31,3.03,247.08,7.46,12.1,365,-,-,62.70%,33.70%,23%
Corki,22,28.20%,-,22,7,12,10,54.50%,4.14,2.36,5.32,4,275.45,7.82,13.3,379,-,-,63%,27.60%,22.80%
Irelia,21,26.90%,6,15,7,10,5,66.70%,3,1.4,6.2,6.57,238.27,6.77,12.3,351,-,-,63.60%,20.70%,20.90%
Jayce,20,25.60%,8,12,6,7,5,58.30%,3.83,2.5,6.67,4.2,244.08,7.26,12.6,375,-,-,66%,24.10%,21.90%
Jarvan IV,18,23.10%,1,17,10,6,11,35.30%,1.71,3.59,8.94,2.97,112.76,3.15,10.1,282,-,-,79.70%,12.80%,17.90%
Kog'Maw,17,21.80%,1,16,9,7,9,43.80%,3.63,2.5,5.25,3.55,294.69,7.21,14.6,357,-,-,71.40%,29.10%,22.90%
Lulu,17,21.80%,2,15,10,5,10,33.30%,1.27,2.6,4,2.03,243.07,6.72,11.4,316,-,-,64.20%,15.40%,20.90%
Elise,16,20.50%,1,15,9,5,10,33.30%,1.47,3.33,4.07,1.66,114.8,2.96,10.1,260,-,-,52.20%,13.80%,16.90%
Kayle,15,19.20%,2,13,10,5,8,38.50%,1.62,3.08,6.62,2.68,221.54,6.19,11.3,316,-,-,68.20%,13.40%,20.60%
Twisted Fate,14,17.90%,6,8,4,3,5,37.50%,4.88,3.38,6.63,3.41,296.25,8.7,14.9,439,-,-,68.10%,28.90%,25.90%
Ahri,13,16.70%,1,12,8,5,7,41.70%,3.58,2.58,4.58,3.16,300.25,7.72,14,361,-,-,69%,30.30%,23%
Braum,12,15.40%,-,12,9,6,6,50%,0.08,3.75,9.42,2.53,36.75,1.14,7.8,242,-,-,69.10%,0.60%,14.80%
Morgana,12,15.40%,-,12,6,6,6,50%,0.5,3.17,8.75,2.92,24.83,0.63,10.2,261,-,-,67.30%,3.60%,15.90%
Dr. Mundo,10,12.80%,-,10,5,1,9,10%,1.7,3.1,3.2,1.58,230.8,6.32,11,302,-,-,53.30%,18.50%,20.60%
Kassadin,10,12.80%,2,8,6,5,3,62.50%,4.38,2.5,6.75,4.45,246.88,6.96,13,367,-,-,63.60%,25%,21.60%
Jinx,10,12.80%,3,7,3,2,5,28.60%,1.71,4.29,5,1.57,227.43,6.72,10.8,318,-,-,61%,15.60%,22.20%
Talon,7,9%,-,7,4,3,4,42.90%,2.86,5.29,5,1.49,258.57,7.69,12.2,363,-,-,53.40%,19.40%,22.20%
Xerath,6,7.70%,-,6,6,2,4,33.30%,1.5,1.67,2.5,2.4,332.83,8.96,13,350,-,-,64.90%,24.30%,23.80%
Aatrox,6,7.70%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vayne,4,5.10%,-,4,3,3,1,75%,5.25,0.75,4.75,13.33,293,8.67,13.8,408,-,-,63.50%,33.30%,23.80%
Leona,3,3.80%,-,3,2,1,2,33.30%,1.67,3.33,5.33,2.1,40.67,1.05,7.7,200,-,-,45.70%,10.90%,13.60%
Pantheon,3,3.80%,-,3,2,1,2,33.30%,5,5,3.67,1.73,85,3.05,8.3,299,-,-,60.50%,34.90%,19.10%
Blitzcrank,3,3.80%,-,3,1,0,3,0%,1.33,6.33,7,1.32,23.33,0.8,6.3,216,-,-,71.40%,11.40%,15.70%
Sona,3,3.80%,-,3,2,0,3,0%,0.33,4,4.33,1.17,12,0.4,6.2,207,-,-,73.70%,5.30%,14.30%
Rammus,3,3.80%,1,2,2,2,0,100%,2,3,11.5,4.5,97.5,2.62,10.7,286,-,-,71.10%,10.50%,16.20%
Evelynn,2,2.60%,-,2,2,2,0,100%,3,1,12,15,113.5,2.97,12.8,334,-,-,63.80%,12.80%,18.80%
Caitlyn,2,2.60%,-,2,1,1,1,50%,5.5,2,4,4.75,487.5,9.43,21.4,414,-,-,63.30%,36.70%,25.10%
Graves,2,2.60%,-,2,2,1,1,50%,3.5,2.5,6,3.8,252.5,7.62,12,362,-,-,51.40%,18.90%,22.30%
Singed,2,2.60%,-,2,1,1,1,50%,3.5,2.5,13,6.6,277.5,8.23,13.3,395,-,-,70.20%,14.90%,22%
Ziggs,2,2.60%,-,2,2,1,1,50%,2,1.5,5,4.67,354.5,8.43,14.7,348,-,-,50%,14.30%,22.60%
Ezreal,2,2.60%,-,2,2,0,2,0%,3,1,2,5,226.5,6.37,10.8,305,-,-,47.60%,28.60%,22.10%
Akali,1,1.30%,-,1,1,1,0,100%,9,0,8,17,188,6.52,12.8,444,-,-,70.80%,37.50%,21.60%
Fiddlesticks,1,1.30%,-,1,1,1,0,100%,5,4,10,3.75,112,2.6,12.3,286,-,-,75%,25%,17.90%
Katarina,1,1.30%,-,1,1,1,0,100%,12,2,16,14,195,6.65,14.7,501,-,-,71.80%,30.80%,21.90%
Lissandra,1,1.30%,-,1,1,1,0,100%,4,2,11,7.5,363,9.66,16.6,442,-,-,57.70%,15.40%,22.40%
Riven,1,1.30%,-,1,1,1,0,100%,0,2,4,2,345,7.62,16.3,360,-,-,36.40%,0%,21.30%
Swain,1,1.30%,-,1,1,1,0,100%,1,8,9,1.25,211,4.17,13.6,269,-,-,47.60%,4.80%,16.10%
Galio,1,1.30%,-,1,1,0,1,0%,0,7,3,0.43,165,5.07,7.9,243,-,-,27.30%,0%,17%
Nunu,1,1.30%,-,1,1,0,1,0%,0,5,2,0.4,93,2.8,7.4,223,-,-,100%,0%,16.70%
Varus,1,1.30%,-,1,1,0,1,0%,3,3,0,1,221,7.67,9.1,316,-,-,100%,100%,26.90%
Vi,1,1.30%,-,1,1,0,1,0%,0,7,1,0.14,112,3.23,7.5,216,-,-,50%,0%,16.90%
Gragas,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
