Lee Sin,118,97.50%,60,58,22,33,25,56.90%,3.09,2.76,7.12,3.7,180.84,5.45,11.2,336,9.1k,274,69.60%,21.10%,18.80%,
Lucian,100,82.60%,66,34,14,18,16,52.90%,4.09,3.03,5.56,3.18,311.53,9.19,14.4,424,17.8k,524,66.30%,28.10%,23.80%,
LeBlanc,100,82.60%,71,29,14,15,14,51.70%,3.69,2.03,5.03,4.29,274.83,8.26,13,391,19.7k,590,67.80%,28.70%,22.40%,
Miss Fortune,98,81%,18,80,21,38,42,47.50%,3.94,2.16,4.54,3.92,310.84,9.38,14.3,432,15.9k,479,61.90%,28.80%,24.30%,
Twisted Fate,92,76%,64,28,14,15,13,53.60%,2.07,1.96,8.21,5.24,267.54,7.79,13.7,400,14.6k,426,72%,14.50%,22.30%,
Irelia,90,74.40%,71,19,13,7,12,36.80%,2,4.05,3.95,1.47,279.11,8.73,12.7,396,10.4k,325,54.60%,18.40%,22.60%,
Leona,87,71.90%,31,56,18,30,26,53.60%,0.73,3.29,7.84,2.61,37.63,1.16,7.5,232,3.5k,108,59.30%,5.10%,12.80%,
Xin Zhao,84,69.40%,39,45,18,15,30,33.30%,2.22,3.56,5.36,2.13,166.98,5.05,10.2,310,9.7k,292,66.10%,19.40%,18.10%,
Yuumi,84,69.40%,69,15,10,8,7,53.30%,1.4,1.4,9.53,7.81,7.53,0.23,7.7,242,10.4k,324,79.60%,10.20%,13.60%,
Aphelios,82,67.80%,44,38,17,24,14,63.20%,3.79,1.89,4.16,4.19,302.89,9.39,14.1,439,14.6k,454,57.30%,27.30%,24.10%,
Ryze,82,67.80%,49,33,15,15,18,45.50%,3.12,2.82,5.06,2.9,293.12,8.87,13.5,407,12.2k,369,59.60%,22.70%,22.60%,
Jarvan IV,76,62.80%,39,37,20,17,20,45.90%,2.38,3.16,7.95,3.26,179,5.3,10.9,324,8.6k,254,78.30%,18%,18.20%,
Kennen,75,62%,45,30,19,20,10,66.70%,4.1,3.5,6.2,2.94,265.83,7.48,13.9,390,18.3k,515,59.70%,23.70%,21.30%,
Graves,70,57.90%,29,41,19,23,18,56.10%,3.05,2.51,4.29,2.92,295.61,9.08,13.7,421,15.7k,481,56.90%,23.60%,23.30%,
Rakan,67,55.40%,24,43,20,24,19,55.80%,0.74,2.72,10,3.95,39.95,1.19,7.9,235,4.4k,132,74%,5.10%,13.10%,
Jayce,64,52.90%,30,34,17,13,21,38.20%,3.12,3.62,4.94,2.23,274.65,8.33,13.4,406,20.2k,613,63.40%,24.50%,23.20%,
Sylas,46,38%,17,29,19,14,15,48.30%,3.72,3.38,5.28,2.66,263.66,8.03,12.8,390,15.1k,460,64%,26.50%,22%,
Nami,42,34.70%,24,18,9,9,9,50%,1.17,2.44,10.28,4.68,16.33,0.48,8,238,6.4k,189,83.70%,8.50%,13.50%,
Ezreal,41,33.90%,16,25,12,12,13,48%,4,2.4,4.16,3.4,290.32,9.17,13.4,423,20.3k,640,62.20%,30.50%,23.80%,
Camille,39,32.20%,26,13,9,8,5,61.50%,3,3.85,6.54,2.48,234.54,7.44,12.3,389,11.3k,359,61.10%,19.20%,21.30%,
Zoe,38,31.40%,19,19,12,12,7,63.20%,2.95,1.53,5.11,5.28,258.16,7.78,12.2,368,17.1k,515,63.70%,23.30%,20.90%,
Gwen,38,31.40%,19,19,12,7,12,36.80%,2.47,2.32,3.68,2.66,269.42,8.43,12.5,390,14.1k,442,54.40%,21.90%,22.30%,
Qiyana,37,30.60%,22,15,8,11,4,73.30%,3.6,2.33,5.8,4.03,206.53,6.21,11.9,356,12.3k,369,61%,23.40%,19.10%,
Thresh,36,29.80%,20,16,13,9,7,56.30%,0.56,2.31,8.81,4.05,32.13,1,7.5,235,3.3k,103,70.10%,4.20%,12.70%,
Talon,33,27.30%,15,18,8,10,8,55.60%,3.67,2.83,4.67,2.94,190.72,6.1,11.1,353,11.1k,355,66.40%,29.20%,19.90%,
Draven,32,26.40%,27,5,4,2,3,40%,4.2,2,3,3.6,325.8,9.32,16,458,14.4k,411,61%,35.60%,26%,
Jhin,31,25.60%,2,29,11,18,11,62.10%,3.24,1.07,5.76,8.42,297.14,8.95,13.8,415,13.1k,394,64.90%,23.40%,22.90%,
Syndra,31,25.60%,12,19,9,14,5,73.70%,3.84,2.16,7.58,5.29,287.11,8.32,13.8,401,17.3k,501,62.70%,21.10%,21.50%,
