Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Lucian,1,1.40%,-,1,1,1,0,100%,7,4,11,4.5,295,8.03,15.3,417,-,-,81.80%,31.80%,22.30%
Vladimir,1,1.40%,-,1,1,1,0,100%,0,3,8,2.67,318,7.31,14.9,343,-,-,50%,0%,19.90%
Blitzcrank,1,1.40%,-,1,1,0,1,0%,1,5,2,0.6,16,0.55,5.8,198,-,-,75%,25%,14.50%
Brand,1,1.40%,-,1,1,0,1,0%,1,6,10,1.83,29,0.83,8.6,246,-,-,78.60%,7.10%,15.20%
Cassiopeia,1,1.40%,-,1,1,0,1,0%,1,1,4,5,341,8.61,13.2,333,-,-,50%,10%,21.90%
Jayce,1,1.40%,-,1,1,0,1,0%,1,2,7,4,359,9.33,14.7,382,-,-,50%,6.30%,22.40%
Nautilus,1,1.40%,-,1,1,0,1,0%,0,6,9,1.5,72,1.66,9.4,217,-,-,50%,0%,12.70%
Nunu,1,1.40%,-,1,1,0,1,0%,1,5,11,2.4,92,2.63,10,286,-,-,85.70%,7.10%,17.70%
Syndra,1,1.40%,-,1,1,0,1,0%,2,1,3,5,510,9.2,19.8,357,-,-,83.30%,33.30%,25.10%
Twitch,1,1.40%,-,1,1,0,1,0%,4,4,2,1.5,213,6.43,10.4,314,-,-,50%,33.30%,20.80%
Vi,1,1.40%,-,1,1,0,1,0%,0,6,1,0.17,128,2.94,10.6,244,-,-,10%,0%,16%
