Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Gnar,41,51.20%,25,16,9,12,4,75%,2.44,1.94,4.13,3.39,315.25,8.45,14.8,398,-,-,69.50%,25.80%,21.10%
Taliyah,40,50%,24,16,8,9,7,56.30%,3,1.44,4.13,4.96,344.88,9.25,15.2,407,-,-,72.60%,30.60%,22.10%
Maokai,32,40%,6,26,14,7,19,26.90%,0.54,2.54,3.69,1.67,233.27,6.96,10.8,323,-,-,56.10%,7.10%,18.60%
Orianna,32,40%,19,13,8,6,7,46.20%,2.31,2.08,5.69,3.85,332.15,9.11,14.5,398,-,-,81.90%,23.60%,22%
Twitch,31,38.80%,9,22,9,13,9,59.10%,4.18,1.59,3.32,4.71,343.27,9.58,15.5,433,-,-,77.50%,43.20%,23.50%
Varus,29,36.30%,6,23,9,10,13,43.50%,2.65,1.74,4.22,3.95,364.57,9.95,15.5,422,-,-,71.20%,27.50%,23.20%
Cassiopeia,29,36.30%,20,9,6,4,5,44.40%,1.89,1.67,4.33,3.73,316.11,9.04,13.5,385,-,-,82.40%,25%,21.90%
LeBlanc,27,33.80%,23,4,4,3,1,75%,5,1,3.25,8.25,262.5,7.8,13.4,397,-,-,82.50%,50%,21.50%
Trundle,22,27.50%,11,11,9,6,5,54.50%,1.36,1.27,6,5.79,331.18,8.97,14.5,392,-,-,77.10%,14.30%,21.20%
Ezreal,22,27.50%,16,6,3,2,4,33.30%,1.67,2,4.83,3.25,162.83,4.56,12,335,-,-,79.60%,20.40%,18.60%
Taric,20,25%,2,18,8,7,11,38.90%,0.17,1.39,6.28,4.64,31.56,0.96,9.1,279,-,-,83.50%,2.20%,15.70%
Corki,19,23.80%,3,16,10,7,9,43.80%,2,1.75,4.06,3.46,374.06,10.01,15.8,422,-,-,78.20%,25.80%,23.60%
Caitlyn,19,23.80%,10,9,4,6,3,66.70%,3.33,1,4.67,8,316.78,9.85,14.1,439,-,-,69.20%,28.80%,23.20%
Rek'Sai,18,22.50%,7,11,7,4,7,36.40%,2.36,2.45,4.18,2.67,168.91,4.8,11.6,330,-,-,71.30%,25.70%,18.20%
Malzahar,17,21.30%,7,10,3,9,1,90%,2.7,2.3,5.2,3.43,318.2,8.57,15.2,409,-,-,64.80%,22.10%,21.10%
Lucian,17,21.30%,12,5,3,1,4,20%,2.8,3.6,5.2,2.22,361,8.81,16.4,399,-,-,80%,28%,22.40%
Rumble,15,18.80%,8,7,4,3,4,42.90%,2.14,2.29,4,2.69,237.43,7.56,10.9,347,-,-,63.20%,22.10%,19.30%
Karma,14,17.50%,3,11,8,3,8,27.30%,0.45,2.45,4.45,2,90.36,2.76,10,306,-,-,66.70%,6.20%,17.80%
Kassadin,14,17.50%,10,4,4,2,2,50%,2.25,2,3.5,2.88,284.25,9.24,12.3,400,-,-,56.10%,22%,21.80%
Renekton,9,11.30%,6,3,3,1,2,33.30%,3.67,2.33,2.33,2.57,287.33,8.48,13.8,406,-,-,56.30%,34.40%,22.70%
Kha'Zix,7,8.80%,4,3,2,3,0,100%,2.33,2.33,7,4,187,5.18,13.5,375,-,-,71.80%,17.90%,18.70%
Thresh,7,8.80%,4,3,2,1,2,33.30%,1,1.67,7,4.8,35,0.85,10.9,267,-,-,77.40%,9.70%,15.40%
Blitzcrank,6,7.50%,3,3,2,1,2,33.30%,0.67,3,5.67,2.11,35,1,9,258,-,-,73.10%,7.70%,14.70%
Soraka,5,6.30%,1,4,1,3,1,75%,0.25,2,5.5,2.88,20.5,0.51,11.5,286,-,-,74.20%,3.20%,15.60%
Kennen,5,6.30%,1,4,2,2,2,50%,2.25,2.75,3.75,2.18,293.5,8.29,13.4,379,-,-,70.60%,26.50%,20.80%
Vayne,5,6.30%,1,4,3,2,2,50%,4.5,1,3.5,8,339.5,10.06,15.4,455,-,-,72.70%,40.90%,24.70%
Zac,5,6.30%,1,4,3,1,3,25%,0.75,2.75,3.75,1.64,138.5,3.85,10.6,295,-,-,85.70%,14.30%,16.90%
Ivern,5,6.30%,3,2,2,1,1,50%,0.5,2.5,7.5,3.2,90.5,2.65,10.9,319,-,-,61.50%,3.80%,17.20%
Fizz,4,5%,-,4,2,3,1,75%,2.5,1.25,4,5.2,275.25,7.86,13.2,375,-,-,76.50%,29.40%,20.60%
Lee Sin,4,5%,-,4,3,2,2,50%,1.25,2.5,4.25,2.2,139.5,3.56,12.1,308,-,-,73.30%,16.70%,16.90%
Leona,4,5%,1,3,2,2,1,66.70%,2,2.33,8.67,4.57,55.33,1.49,10.9,292,-,-,65.30%,12.20%,15.10%
Kayn,4,5%,1,3,1,1,2,33.30%,2.33,2.33,2.67,2.14,211,6.19,11.6,341,-,-,62.50%,29.20%,19.20%
Sivir,4,5%,1,3,2,1,2,33.30%,2.67,2.67,3,2.13,478,11.58,18.9,458,-,-,53.10%,25%,25.20%
Singed,4,5%,2,2,1,2,0,100%,1,1.5,6,4.67,239,8.39,11.2,393,-,-,50%,7.10%,19.50%
Elise,4,5%,2,2,1,1,1,50%,1.5,1.5,5,4.33,153.5,4.56,11.3,336,-,-,41.90%,9.70%,17.30%
Nocturne,4,5%,2,2,2,1,1,50%,3,4,4,1.75,166.5,6.06,9.9,362,-,-,50%,21.40%,20.40%
Alistar,4,5%,2,2,2,0,2,0%,0,2.5,3,1.2,28.5,0.88,7.8,238,-,-,54.50%,0%,14.50%
Nidalee,4,5%,3,1,1,0,1,0%,2,3,1,1,219,5.65,12.5,323,-,-,100%,66.70%,19%
Nautilus,3,3.80%,-,3,2,2,1,66.70%,0.67,2,4.33,2.5,235.67,7.36,10.9,339,-,-,60%,8%,18.50%
Camille,3,3.80%,-,3,2,1,2,33.30%,2.33,1.67,1,2,259,8.95,11.7,404,-,-,40%,28%,22.60%
Yasuo,3,3.80%,-,3,3,1,2,33.30%,2.67,3,4.67,2.44,403.67,9.54,16.7,394,-,-,66.70%,24.20%,21.90%
Graves,3,3.80%,1,2,1,1,1,50%,1.5,3,4.5,2,206,5.6,13.1,355,-,-,66.70%,16.70%,19%
Urgot,3,3.80%,1,2,1,1,1,50%,2,4,2,1,254,8.14,11.5,368,-,-,44.40%,22.20%,20.30%
Morgana,2,2.50%,-,2,2,0,2,0%,1.5,2.5,13,5.8,20,0.47,13.8,325,-,-,78.40%,8.10%,17.50%
Braum,2,2.50%,1,1,1,1,0,100%,0,1,13,13,63,1.68,10.5,280,-,-,81.30%,0%,14.40%
Nasus,2,2.50%,1,1,1,1,0,100%,2,0,0,2,205,9.82,9.4,450,-,-,40%,40%,22.90%
Jax,2,2.50%,1,1,1,0,1,0%,3,4,4,1.75,358,8.04,16.3,366,-,-,46.70%,20%,21.10%
Vladimir,2,2.50%,1,1,1,0,1,0%,1,1,5,6,306,9.44,11.3,349,-,-,75%,12.50%,21.60%
Sion,2,2.50%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashe,1,1.30%,-,1,1,1,0,100%,5,0,3,8,308,9.63,15,469,-,-,53.30%,33.30%,22.40%
Lissandra,1,1.30%,-,1,1,1,0,100%,3,1,6,9,366,10.79,15.9,469,-,-,81.80%,27.30%,23.30%
Tahm Kench,1,1.30%,-,1,1,1,0,100%,1,1,0,1,61,1.61,10.1,267,-,-,16.70%,16.70%,14.60%
Aurelion Sol,1,1.30%,-,1,1,0,1,0%,3,4,7,2.5,512,9.45,22,406,-,-,90.90%,27.30%,22.70%
Ekko,1,1.30%,-,1,1,0,1,0%,3,2,3,3,462,9.62,20.5,427,-,-,75%,37.50%,23%
Gangplank,1,1.30%,-,1,1,0,1,0%,2,4,4,1.5,373,9.63,17.6,455,-,-,85.70%,28.60%,27.10%
Jinx,1,1.30%,-,1,1,0,1,0%,0,2,0,0,533,11.39,19.3,413,-,-,-nan%,-nan%,25.40%
Mordekaiser,1,1.30%,-,1,1,0,1,0%,0,8,0,0,140,5.84,6.4,267,-,-,0%,0%,19.30%
Nami,1,1.30%,-,1,1,0,1,0%,1,2,6,3.5,22,0.49,12.6,278,-,-,100%,14.30%,16.70%
Rengar,1,1.30%,-,1,1,0,1,0%,6,6,1,1.17,274,5.71,16.6,346,-,-,43.80%,37.50%,19.20%
Sona,1,1.30%,-,1,1,0,1,0%,0,4,5,1.25,38,1.19,9.4,295,-,-,71.40%,0%,17.60%
Zilean,1,1.30%,-,1,1,0,1,0%,2,5,12,2.8,34,0.71,14.4,300,-,-,87.50%,12.50%,16.70%
Bard,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Twisted Fate,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
