Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Kalista,80,100%,80,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sejuani,79,98.80%,35,44,17,22,22,50%,1.41,1.77,6.05,4.21,149.32,4.05,11.9,323,-,-,77.20%,14.60%,17.60%
Jarvan IV,79,98.80%,37,42,16,22,20,52.40%,1.55,2.4,6.55,3.37,158.93,4.5,11.5,324,-,-,79.60%,15.20%,17.70%
Janna,76,95%,32,44,14,31,13,70.50%,0.3,0.93,8.36,9.29,27.59,0.76,12.1,331,-,-,83.70%,2.90%,17.50%
Lulu,75,93.80%,28,47,17,19,28,40.40%,0.38,1.55,5.79,3.97,26.38,0.72,11,301,-,-,74.60%,4.60%,16.70%
Galio,73,91.30%,52,21,10,14,7,66.70%,1.76,1.52,7.52,6.09,276.38,8.22,12.7,379,-,-,79.60%,15.10%,19.90%
Xayah,69,86.30%,44,25,13,13,12,52%,3.08,1.28,4.48,5.91,363.52,10.05,15.8,438,-,-,75.60%,30.80%,23.80%
Cho'Gath,62,77.50%,21,41,17,21,20,51.20%,2.05,2.2,4.15,2.82,288.02,7.64,13.4,357,-,-,66.80%,22.10%,19.50%
Tristana,61,76.30%,16,45,15,22,23,48.90%,3.2,1.64,2.87,3.69,353.69,10.06,15.3,436,-,-,73.40%,38.70%,24.10%
Gragas,58,72.50%,22,36,15,23,13,63.90%,0.92,1.97,5.39,3.2,136.11,3.76,11.3,311,-,-,69.20%,10.10%,16.90%
Rakan,54,67.50%,34,20,12,11,9,55%,0.55,2.1,7.9,4.02,25.55,0.74,10.6,304,-,-,80.90%,5.30%,16.50%
Syndra,51,63.70%,28,23,13,10,13,43.50%,2.26,1.96,3.83,3.11,342.87,9.29,14.6,396,-,-,70.40%,26.10%,21.90%
Shen,51,63.70%,29,22,11,11,11,50%,1.77,1.64,5.64,4.53,324.09,8.55,14.2,375,-,-,75.50%,18.10%,20.30%
Kog'Maw,49,61.30%,22,27,14,12,15,44.40%,3.44,2.22,3.04,2.92,349.7,9.48,15.6,423,-,-,71.70%,38.10%,23.40%
Jayce,47,58.80%,36,11,7,7,4,63.60%,2.91,1.73,3.27,3.58,313.64,9.23,13.9,409,-,-,66%,31.10%,22.50%
Ryze,43,53.80%,15,28,13,9,19,32.10%,2.36,1.64,3,3.26,320.71,9.5,13.4,398,-,-,68.20%,30%,22.40%
